"monument_id","name_tr","name_en","type_tr","type_en","date_ce","city_tr","city_en","lat","lon","dynasty_id","patron_ruler","unesco","status","significance","notes_tr","notes_en","narrative_tr","narrative_en","architectural_detail_tr","historical_context_tr","visitor_note_tr","related_event_ids","related_scholar_ids"
"30","Kutub Minar","Qutb Minar","Minare","Minaret","1199","Delhi","Delhi","28.52","77.19","160","Kutbüddîn Aybeg","Evet","Müze","Kritik","Dünyanın en yüksek tuğla minaresi; 72.5m","World's tallest brick minaret; 72.5m","Kutub Minar, 1199'da Delhi Sultanlığı'nın kurucusu Kutbüddîn Aybeg tarafından başlatılan dünyanın en yüksek tuğla minaresidir (72,5m). Beş kademeli yapı aşağıdan yukarıya daralan konik formda, her kademe farklı süsleme programına sahiptir. İlk üç kademe kırmızı kumtaşı, üst iki kademe mermer ve kumtaşı karışımıdır. Yanındaki Kuvvetü'l-İslam Camii Hindistan'ın ilk camisidir.","Qutb Minar, begun by Delhi Sultanate founder Qutbuddin Aibak in 1199, is the world's tallest brick minaret at 72.5m. The five-story structure has a tapering conical form, each level with different decoration. The first three stories are red sandstone; the upper two mix marble and sandstone. The adjacent Quwwat al-Islam Mosque is India's first mosque.","Beş kademe, her biri farklı yivli ve yazıtlı. Alt çap 14,3m, üst çap 2,75m. Arapça kitabeler ve Hindu-İslam sentezi süslemeler alt kademelerde.","Delhi Sultanlığı'nın kuruluşunu ve İslam'ın Hindistan'daki siyasi zaferini simgeleyen zafer minaresi olarak inşa edildi.","Delhi'nin güney kesiminde; Mehrauli arkeolojik parkı içinde Hindu-İslam mimari etkileşiminin birçok örneği birlikte görülebilir.","",""
"31","Tâc Mahal","Taj Mahal","Türbe","Mausoleum","1643","Agra","Agra","27.17","78.04","175","Şah Cihan","Evet","Müze","Kritik","Dünyanın yedi harikasından; Mümtâz Mahal için","One of Seven Wonders; built for Mumtaz Mahal","Tâc Mahal, 1643'te Bâbürlü hükümdarı Şah Cihan tarafından eşi Mümtâz Mahal'in anısına Agra'da inşa ettirilen dünyanın en tanınmış anıtsal yapısıdır. Beyaz mermer üzerine yarı değerli taşlarla kakma (pietra dura) tekniğiyle süslenen türbe, İslam mimarisi, Fars bahçe geleneği ve Hint zanaatkârlığının mükemmel sentezini temsil eder. Simetrik bahçe planı cennet imgesidir ve yapının Yamuna Nehri'ndeki yansıması tasarımın parçasıdır.","The Taj Mahal, built in Agra in 1643 by Mughal ruler Shah Jahan in memory of his wife Mumtaz Mahal, is the world's most recognized monumental building. The mausoleum, decorated with semi-precious stone inlay (pietra dura) technique on white marble, represents the perfect synthesis of Islamic architecture, Persian garden tradition, and Indian craftsmanship. The symmetrical garden plan represents paradise, and the building's reflection in the Yamuna River is part of the design.","Beyaz mermer üzerine 28 çeşit yarı değerli taş kakma. Çift kubbe — dış kubbe 73m yüksekliğinde. Dört köşedeki minareler hafifçe dışa eğik (depremde türbeye devrilmemesi için). Akustik kubbe altında 28 saniye eko.","Şah Cihan'ın eşi Mümtâz Mahal'in 14. doğumunda ölümü üzerine yirmi yıl süren anıtsal yas projesi.","Agra'da; gün doğumu en ikonik görüntüyü sunar. Cuma günleri kapalı. Yamuna'nın karşı kıyısından (Mehtab Bagh) manzara da görülmeli.","35",""
"32","Fatihpûr Sikri","Fatehpur Sikri","Şehir","City","1571","Fatihpûr Sikri","Fatehpur Sikri","27.09","77.66","175","Ekber Şah","Evet","Harabe/Müze","Kritik","Ekber'in inşa ettiği başkent; 14 yıl kullanıldı","Capital built by Akbar; used for 14 years","Fatihpûr Sikri, 1571'de Bâbürlü İmparatoru Ekber tarafından inşa ettirilen ve yalnızca 14 yıl başkent olarak kullanılan hayalet şehirdir. Ekber'in dini hoşgörü vizyonunu yansıtan İbadethane (İbadet Evi), Büyük Cuma Camii'nin devasa Büland Darvaza'sı (53,6m — İslam'ın en yüksek portalı) ve karma mimari üslup Hindu, İslam ve Hristiyan motiflerini birleştirir. Su kıtlığı nedeniyle terk edilen şehir mükemmel korunmuş bir açık hava müzesidir.","Fatehpur Sikri, built by Mughal Emperor Akbar in 1571 and used as capital for only 14 years, is a ghost city. Reflecting Akbar's vision of religious tolerance, the Ibadat Khana (House of Worship), the Great Friday Mosque's massive Buland Darwaza (53.6m — Islam's tallest portal), and hybrid style combine Hindu, Islamic, and Christian motifs. Abandoned due to water scarcity, the city is a perfectly preserved open-air museum.","Büland Darvaza 53,6m yüksekliğinde zafer kapısı. Panch Mahal beş katlı açık sütunlu yapı Hindu-Budist etkili. Diwan-ı Khas'taki merkezi sütun Ekber'in farklı dinlerle diyalog mekanı.","Ekber'in Sufi azizi Şeyh Selîm Çiştî'nin kehaneti üzerine oğlunun doğduğu yerde başkent kurma kararı.","Agra'dan 40 km; Tâc Mahal ile aynı gün ziyaret edilebilir. Şeyh Selîm Çiştî türbesinin beyaz mermer kafes işçiliği olağanüstü.","36",""
"33","Gol Gumbaz","Gol Gumbaz","Türbe","Mausoleum","1656","Bijapur","Bijapur","16.83","75.74","165","II. Muhammed Âdilşâh","Evet","Müze","Yüksek","Dünyanın en büyük ikinci kubbesi (44m); akustik odası","World's second largest dome (44m); whispering gallery","Gol Gumbaz, 1656'da Bijapur'da (Güney Hindistan) II. Muhammed Âdilşâh için inşa edilen devasa türbedir. 44 metre çapındaki kubbesi Roma Pantheon'undan sonra dünyanın en büyük ikinci taş kubbesidir. En dikkat çekici özelliği 'fısıltı galerisi' — kubbenin iç çeperindeki dairesel balkonda yapılan en hafif fısıltı karşı taraftan net olarak duyulur.","Gol Gumbaz, built in Bijapur (South India) for Muhammad Adil Shah II in 1656, is a massive mausoleum. Its 44-meter dome diameter is the world's second largest stone dome after the Roman Pantheon. Its most striking feature is the 'whispering gallery' — the slightest whisper on the circular balcony inside the dome is clearly heard from the opposite side.","Kare tabanlı yapı üzerinde dairesel tambur ve devasa kubbe. Dört köşede yonca planlı kuleler. Kubbe iç çeperinde akustik galeri fizik mühendisliğinin olağanüstü başarısı.","Dekkan'ın bağımsız İslam sultanlıklarının mimari ihtiraslarını ve Osmanlı/Bâbürlü etkisinden bağımsız yerel üsluplarını yansıtır.","Bijapur (şimdi Vijayapura) merkezinde; kubbe içi fısıltı deneyi için sessiz an beklenmeli.","",""
"34","Demak Ulu Camii","Great Mosque of Demak","Cami","Mosque","1479","Demak","Demak","-6.89","110.64","183","Raden Patah","Hayır","Aktif","Yüksek","Java'nın en eski camilerinden; Vali Sanga'nın eseri","One of Java's oldest mosques; by Wali Sanga","Demak Ulu Camii, Java'nın en eski camilerinden biri olarak 1479'da Demak Sultanlığı'nın kurucusu Raden Patah tarafından inşa ettirilmiştir. İslam'ı Java'ya yayan Vali Sanga (Dokuz Evliya) geleneğiyle bağlantılı yapı, geleneksel Cava mimarisini İslam ibadet işlevleriyle birleştiren benzersiz formuyla Güneydoğu Asya İslam mimarisinin prototipini oluşturur.","The Great Mosque of Demak, one of Java's oldest mosques, was built by Demak Sultanate founder Raden Patah in 1479. Connected to the Wali Sanga (Nine Saints) tradition who spread Islam to Java, the building created the prototype of Southeast Asian Islamic architecture with its unique form combining traditional Javanese architecture with Islamic worship functions.","Üç kademeli piramidal çatı yapısı Hindu-Budist Cava tapınak geleneğinden uyarlanmış. Taş veya tuğla kubbe yerine ahşap çatı Güneydoğu Asya'nın tropik iklimine uygun çözüm.","Vali Sanga'nın Java'da İslam'ı yerel kültürle sentezleyerek yaydığı sürecin mimari ifadesi.","Semarang'dan 30 km; Java'nın İslam tarihini anlamak için önemli başlangıç noktası.","41",""
"35","Baiturrahman Camii","Baiturrahman Grand Mosque","Cami","Mosque","1612","Banda Aceh","Banda Aceh","5.55","95.32","184","İskender Muda","Hayır","Aktif","Yüksek","Açe Sultanlığı'nın simgesi","Symbol of Aceh Sultanate","Baiturrahman Camii, 1612'de Açe Sultanlığı'nın hükümdarı İskender Muda döneminde Banda Aceh'te inşa edilen ve Güneydoğu Asya İslam'ının en önemli simgelerinden biri olan camidir. Hollanda sömürge döneminde yakılıp yeniden inşa edilen cami, 2004 tsunamisinde mucizevi biçimde ayakta kalarak dünya çapında sembol haline geldi.","The Baiturrahman Grand Mosque, built during Sultan Iskandar Muda's reign in Banda Aceh in 1612, is one of the most important symbols of Southeast Asian Islam. Burned and rebuilt during Dutch colonial rule, the mosque miraculously survived the 2004 tsunami, becoming a worldwide symbol of resilience.","Hollanda dönemi restorasyon ve genişletmeleriyle bugünkü neo-Mağribi görünümünü kazandı. Beş kubbe ve dört minare. 2004 tsunami sonrası yeniden restore edildi.","Açe Sultanlığı'nın gücünün simgesi; Hollanda ile mücadelenin ve 2004 tsunami felaketinin tanığı.","Banda Aceh merkezinde; tsunami müzesi ile birlikte ziyaret edilmeli.","",""
"36","Djenné Ulu Camii","Great Mosque of Djenné","Cami","Mosque","1907","Djenné","Djenné","13.91","-4.56","58","—","Evet","Aktif","Kritik","Dünyanın en büyük çamur yapısı; Sudan-Sahel üslubu","World's largest mud-brick building; Sudano-Sahelian style","Djenné Ulu Camii, Sudan-Sahel mimari üslubunun en ikonik yapısı ve dünyanın en büyük çamur-kerpiç (adobe) binasıdır. Bugünkü yapı 1907'de eski caminin yerine inşa edilmiştir. Her yıl yağmur mevsimi sonrasında tüm şehir halkının katılımıyla gerçekleştirilen sıva yenileme festivali (crépissage) dünyanın en büyük toplumsal bakım etkinliğidir. Yapının cephesinden çıkan ahşap kirişler (toron) hem strüktürel hem estetik işlev görür.","The Great Mosque of Djenné is the most iconic building of Sudan-Sahelian architecture and the world's largest mud-brick (adobe) structure. The current building was constructed in 1907 replacing the original mosque. The annual replastering festival (crépissage) after the rainy season, involving the entire city, is the world's largest communal maintenance event. The wooden beams (toron) projecting from the facade serve both structural and aesthetic functions.","Toron kirişleri duvar sıvasının yenilenmesi için iskele görevi görür. Üç minare ve kıble duvarı cepheyi tanımlar. Kerpiç duvarlar ısı yalıtımı sağlayarak çöl iklimine uyum gösterir.","Batı Afrika'da İslam'ın ticaret yolları üzerinden yayılmasının ve yerel inşaat geleneğiyle sentezlenmesinin mimari simgesi.","Djenné merkezinde; yıllık crépissage festivali (genellikle Nisan/Mayıs) en etkileyici ziyaret zamanı. İç mekân Müslüman olmayanlara kapalı.","",""
"37","Sankore Medresesi","Sankore Madrasa","Medrese","Madrasa","1325","Timbuktu","Timbuktu","16.77","-3.01","58","Mansa Musa","Evet","Harabe","Kritik","25.000 öğrenci; Batı Afrika'nın entelektüel merkezi","25,000 students; intellectual center of West Africa","Sankore Medresesi, Timbuktu'da 14.-15. yüzyıllarda en parlak dönemini yaşayan ve Batı Afrika'nın en prestijli eğitim kurumu olan yapıdır. Mansa Musa'nın hac dönüşünde getirdiği Endülüslü mimar tarafından yeniden tasarlanan medrese, 25.000 öğrenciye ev sahipliği yaparak dönemin en büyük üniversitelerinden biri haline geldi. Hukuk, astronomi, matematik ve İslam bilimleri öğretiliyordu. Timbuktu el yazmaları insanlık mirasının paha biçilmez parçasıdır.","Sankore Madrasa, experiencing its golden age in 14th-15th century Timbuktu, was West Africa's most prestigious educational institution. Redesigned by an Andalusian architect brought by Mansa Musa from his pilgrimage, the madrasa hosted 25,000 students, becoming one of the era's largest universities. Law, astronomy, mathematics and Islamic sciences were taught. The Timbuktu manuscripts are a priceless part of human heritage.","Sudan-Sahel üslubunda kerpiç yapı. Piramidal minare Djenné geleneğini yansıtır. Mansa Musa'nın Mekke'den getirdiği mimari etkiler yapıya entegre edildi.","Mali İmparatorluğu'nun altın çağında Timbuktu'nun Sahra-altı Afrika'nın entelektüel başkentine dönüşmesinin merkez kurumu.","Timbuktu'da; el yazmaları Ahmed Baba Enstitüsü'nde korunmakta. Güvenlik durumu ziyaret planlamasını etkileyebilir.","37",""
"38","Kilwa Kisiwani Büyük Cami","Great Mosque of Kilwa","Cami","Mosque","1000","Kilwa","Kilwa","-8.96","39.52","62","—","Evet","Harabe","Yüksek","Doğu Afrika sahilinin en eski taş camii","Oldest standing stone mosque on East African coast","Kilwa Kisiwani Büyük Camii, 11. yüzyılda Doğu Afrika sahilinin en önemli ticaret şehri Kilwa'da inşa edilen bölgenin en eski ayakta kalan taş camisidir. Mercan taşı ve kireç harçla inşa edilen yapı, Swahili sahil İslam mimarisinin erken örneklerinden biridir. Kilwa, Çin porseleni ve altın ticaretinin kavşağında Hint Okyanusu ticaret ağının önemli bir halkasıydı.","The Great Mosque of Kilwa, built in the 11th century in Kilwa, the most important trading city of the East African coast, is the region's oldest surviving stone mosque. Built with coral stone and lime mortar, it is one of the early examples of Swahili coastal Islamic architecture. Kilwa was an important link in the Indian Ocean trade network at the crossroads of Chinese porcelain and gold trade.","Mercan taşı duvarlar, kubbesiz düz çatı. Birden fazla inşa evresinin izleri görülebilir. Mihrap orijinal formunu koruyor.","Hint Okyanusu ticaret ağının Doğu Afrika ayağında İslam'ın kökleşmesinin mimari kanıtı.","Tanzanya kıyısında ada üzerinde; tekneyle ulaşılır. UNESCO listesinde ama bakım durumu endişe verici.","",""
"39","Şâh-ı Zinde Nekropolü","Shah-i-Zinda Necropolis","Nekropol","Necropolis","1370","Semerkant","Samarkand","39.66","66.99","144","Timurlu hanedanı","Evet","Müze","Yüksek","20+ türbe; İslam çini sanatının zirvesi","20+ mausoleums; pinnacle of Islamic tile art","Şâh-ı Zinde Nekropolü, Semerkant'ta 11.-15. yüzyıllar arasında inşa edilen 20'den fazla türbeden oluşan mezar kompleksidir. Timurlu hanedanı mensupları ve seçkin kişilere ait türbeler dar bir sokak boyunca sıralanır. Her türbenin cephesi farklı çini mozaik programıyla süslüdür — turkuaz, lacivert, beyaz ve altın tonlarındaki çiniler İslam çini sanatının en konsantre ve en zengin sergisini oluşturur.","Shah-i-Zinda Necropolis in Samarkand is a tomb complex of over 20 mausoleums built between the 11th-15th centuries. Tombs belonging to Timurid dynasty members and distinguished persons line a narrow street. Each tomb facade is decorated with different tile mosaic programs — tiles in turquoise, lapis lazuli, white and gold tones form the most concentrated and richest exhibition of Islamic tile art.","Her türbe cephesi farklı renk ve motif kombinasyonu — geometrik, bitkisel, epigrafik. Bazı türbelerde heft-reng (yedi renk) çini tekniği, bazılarında mozaik çini.","Timurlu döneminde Semerkant'ın necropolis geleneğinin en görkemli ifadesi. Hz. Muhammed'in amcaoğlu Kusem b. Abbas'ın türbesi kompleksin en kutsal noktası.","Registan'dan yürüme mesafesinde; merdiven çıkışından itibaren her türbe farklı bir çini sürprizi sunar.","",""
"40","Mostar Köprüsü","Stari Most (Old Bridge)","Köprü","Bridge","1566","Mostar","Mostar","43.34","17.81","130","Mimar Hayreddin","Evet","Aktif","Yüksek","Osmanlı mühendisliğinin başyapıtı; 1993'te yıkıldı, 2004'te yeniden inşa","Ottoman engineering masterpiece; destroyed 1993, rebuilt 2004","Mostar Köprüsü (Stari Most), 1566'da Mimar Sinan'ın öğrencisi Mimar Hayreddin tarafından Bosna'nın Mostar şehrinde inşa edilen tek kemerli taş köprüdür. Neretva Nehri üzerinde 30 metre yüksekliğindeki zarif kemer, Osmanlı mühendislik geleneğinin Balkanlar'daki en etkileyici eseridir. 1993'te Bosna Savaşı'nda Hırvat güçleri tarafından yıkılan köprü, 2004'te uluslararası işbirliğiyle orijinal tekniklerle yeniden inşa edildi — yıkım ve yeniden doğuşun evrensel sembolü haline geldi.","The Old Bridge of Mostar (Stari Most), built by Mimar Sinan's student Architect Hayreddin in 1566 in Bosnia's Mostar, is a single-arch stone bridge. The elegant 30-meter arch over the Neretva River is the most impressive work of Ottoman engineering tradition in the Balkans. Destroyed by Croatian forces during the 1993 Bosnian War, it was rebuilt with original techniques through international cooperation in 2004 — becoming a universal symbol of destruction and rebirth.","Tek kemer 28,7m açıklığında, 20m yüksekliğinde. Tenelija adlı yerel kireçtaşından inşa edildi. 2004 restorasyonunda nehirden çıkarılan orijinal taşlar kullanıldı.","Kanuni Sultan Süleyman döneminde Osmanlı'nın Balkanlar'daki altyapı yatırımlarının parçası olarak inşa edildi.","Mostar'ın kalbi; yaz aylarında köprüden nehre atlama geleneği turistik çekim noktası. UNESCO listesinde.","",""
