"event_id","name_tr","name_en","date_ce","date_hijri","lat","lon","location_tr","dynasty_id","category","significance","description","narrative_tr","narrative_en","significance_detail_tr","causes_event_id","caused_by_event_id","related_battle_ids","related_scholar_ids"
"24","Bağdat Kütüphanelerinin Yıkımı","Destruction of Baghdad Libraries","1258","656","33.31","44.37","Bağdat","","Felaket","Kritik","Moğol istilası; yüz binlerce eser Dicle'ye atıldı","1258'de Hülâgü Han'ın ordusu Bağdat'ı aldığında, beş yüz yıllık entelektüel birikimi taşıyan kütüphaneler sistematik olarak tahrip edildi. Rivayete göre Dicle Nehri'ne atılan kitapların mürekkebi nehri günlerce siyaha boyadı. Beytü'l-Hikme'nin koleksiyonları, Nizâmiye Medresesi'nin arşivleri ve sayısız özel kütüphane yok edildi. Bu kayıp yalnızca fiziksel kitapların değil, yüzyılların entelektüel ağlarının ve bilgi geleneğinin de yıkımıydı.","When Hulagu Khan's army took Baghdad in 1258, libraries carrying five centuries of intellectual accumulation were systematically destroyed. Legend holds that the ink from books thrown into the Tigris dyed the river black for days. The collections of the House of Wisdom, the archives of the Nizamiyyah Madrasa and countless private libraries were annihilated. This loss was not merely of physical books but of centuries of intellectual networks and knowledge traditions.","Bağdat kütüphanelerinin yıkımı, İslam entelektüel tarihinin en büyük tek kayıp olayıdır ve medeniyetin ağırlık merkezini kalıcı olarak doğudan batıya kaydırdı.","","","22",""
"25","Kara Veba (İslam Dünyası)","Black Death in Islamic World","1348","749","30.04","31.24","Mısır/Suriye merkez","31","Felaket","Kritik","Nüfusun %30-40'ı öldü; Memlûk gücü zayıfladı","1348'de Kara Veba (Büyük Veba) İslam dünyasını, özellikle Mısır ve Suriye'yi yıkıcı biçimde vurdu. Nüfusun tahminen %30-40'ı hayatını kaybetti. Tarihçi İbn Haldûn ailesinin büyük bölümünü bu salgında yitirdi. Memlûk Devleti'nin askeri ve ekonomik temelleri kalıcı olarak sarsıldı: köle-asker (memlûk) tedarik zinciri bozuldu, tarım üretimi düştü, ticaret ağları çöktü. Bu demografik felaket, Memlûklerin 16. yüzyılda Osmanlı'ya yenik düşmesinin yapısal nedenlerinden biridir.","In 1348, the Black Death devastated the Islamic world, particularly Egypt and Syria. An estimated 30-40% of the population perished. Historian Ibn Khaldun lost most of his family in the pandemic. The Mamluk state's military and economic foundations were permanently shaken: the mamluk slave-soldier supply chain was disrupted, agricultural production fell, and trade networks collapsed. This demographic catastrophe was one of the structural reasons for the Mamluks' defeat by the Ottomans in the 16th century.","Kara Veba, Memlûk İmparatorluğu'nun demografik ve ekonomik temellerini kalıcı olarak zayıflatan yapısal felaket oldu.","","","","19"
"26","Semerkant Rasathanesi","Ulugh Beg Observatory","1420","823","39.67","66.98","Semerkant","144","Bilimsel","Kritik","Uluğ Bey; yıldız kataloğu 1000+ yıldız; trigonometri tabloları","1420 civarında Timurlu prensi Uluğ Bey, Semerkant'ta İslam dünyasının son büyük rasathanesini kurdu. Burada hazırlanan yıldız kataloğu 1.000'den fazla yıldızın pozisyonunu kaydetti ve dönemin en doğru astronomik gözlemlerini içeriyordu. Uluğ Bey'in trigonometri tabloları da yüzyıllar boyunca referans olarak kullanıldı. Moğol yıkımı sonrası Orta Asya'nın entelektüel canlanışının simgesi olan bu rasathane, Uluğ Bey'in oğlu tarafından öldürülmesinden sonra terk edildi.","Around 1420, Timurid prince Ulugh Beg established the last great observatory of the Islamic world in Samarkand. The star catalog produced here recorded positions of over 1,000 stars with the most accurate astronomical observations of the era. Ulugh Beg's trigonometric tables were used as references for centuries. Symbolizing Central Asia's intellectual revival after the Mongol destruction, the observatory was abandoned after Ulugh Beg was killed by his own son.","Semerkant Rasathanesi, İslam gözlemsel astronomisinin son büyük başarısıdır ve Moğol sonrası Orta Asya'nın kültürel toparlanmasını simgeler.","","","","30"
"27","Herat Edebiyat Meclisi","Herat Literary Circle","1470","875","34.35","62.2","Herat, Horasan","144","Kültürel","Yüksek","Hüseyin Baykara ve Ali Şîr Nevâî; Çağatay edebiyatının zirvesi","1470'lerde Timurlu sultanı Hüseyin Baykara'nın sarayında, Herat'ta olağanüstü bir edebiyat ve sanat çevresi oluştu. Türk edebiyatının en büyük isimlerinden Ali Şîr Nevâî, Çağatay Türkçesi'nin Farsça'yla eşdeğer bir edebiyat dili olduğunu eserleriyel kanıtladı. Behzâd gibi minyatür ustaları İslam resim sanatını zirveye taşıdı. Herat Edebiyat Meclisi, Orta Asya Türk-İslam kültürünün en parlak dönemidir ve Bâbürlü ile Safevî saray kültürlerini doğrudan etkiledi.","In the 1470s, an extraordinary literary and artistic circle formed at the court of Timurid sultan Husayn Bayqara in Herat. Ali Shir Nava'i, one of the greatest figures of Turkic literature, proved through his works that Chagatai Turkish was a literary language equal to Persian. Miniature masters like Behzad brought Islamic painting to its zenith. The Herat Literary Circle represents the most brilliant period of Central Asian Turko-Islamic culture and directly influenced Mughal and Safavid court cultures.","Herat Meclisi, Türk dilinin yüksek edebiyat dili olarak kabul görmesini sağlayan kültürel dönüm noktasıdır.","","","","31"
"28","Süleymaniye Camii İnşası","Construction of Suleymaniye Mosque","1557","964","41.02","28.96","İstanbul","130","Mimari","Yüksek","Mimar Sinan'ın başyapıtı; Osmanlı mimarisinin zirvesi","1557'de Mimar Sinan, Kanuni Sultan Süleyman'ın emriyle İstanbul'da Süleymaniye Camii'ni tamamladı. Sinan, Ayasofya'nın büyük kubbesini aşma hedefiyle tasarladığı bu yapıda, mühendislik ile estetiği mükemmel bir dengede birleştirdi. Cami, medrese, hamam, hastane, aşevi ve kütüphane içeren devasa külliye, Osmanlı sosyal devlet anlayışının mimari manifestosuydu. Süleymaniye, İstanbul siluetinin tanımlayıcı unsuru olarak Osmanlı medeniyetinin zirvesini temsil eder.","In 1557, Architect Sinan completed the Süleymaniye Mosque in Istanbul by order of Sultan Suleiman the Magnificent. In this structure, designed to surpass Hagia Sophia's great dome, Sinan achieved a perfect balance of engineering and aesthetics. The vast complex including mosque, madrasa, bathhouse, hospital, soup kitchen and library was the architectural manifesto of the Ottoman social state concept. The Süleymaniye represents the zenith of Ottoman civilization as the defining element of Istanbul's skyline.","Süleymaniye Camii, Osmanlı klasik mimarisinin en olgun ifadesidir ve külliye sistemiyle İslam vakıf geleneğinin en görkemli uygulamasıdır.","","","","34"
"29","Osmanlı Matbaası (İbrahim Müteferrika)","First Ottoman Printing Press","1729","1141","41.01","28.98","İstanbul","130","Bilimsel","Yüksek","Osmanlı'da ilk Arap harfli matbaa; bilgi yayılımı","1729'da İbrahim Müteferrika, İstanbul'da Osmanlı İmparatorluğu'nun ilk Arap harfli matbaasını kurdu. Macar asıllı mühtedi bir Osmanlı aydını olan Müteferrika, matbaanın bilgi yayılımı ve devlet gücü için önemini anlayarak Sadrazam'ı ikna etmişti. İlk basılan eserler arasında sözlükler, tarih kitapları ve haritalar vardı. Matbaa geç bir başlangıç olsa da, Osmanlı entelektüel hayatında bilgi üretiminin demokratikleşmesinin ilk adımıydı.","In 1729, Ibrahim Muteferrika established the Ottoman Empire's first Arabic-script printing press in Istanbul. A Hungarian convert who became an Ottoman intellectual, Muteferrika convinced the Grand Vizier of the printing press's importance for knowledge dissemination and state power. Among the first works printed were dictionaries, history books and maps. Though a late start, the press was the first step in democratizing knowledge production in Ottoman intellectual life.","Osmanlı matbaası, İslam dünyasında basılı bilgi çağının geç ama önemli başlangıcıdır; bilginin el yazması tekelinden kurtulmasını başlattı.","","","",""
"30","Tanzimat Fermanı","Tanzimat Edict","1839","1255","41.01","28.98","İstanbul","130","Hukuki","Kritik","Osmanlı modernleşme reformlarının başlangıcı","1839'da Sultan Abdülmecid'in hattıyla ilan edilen Gülhane Hatt-ı Şerîfi (Tanzimat Fermanı), Osmanlı İmparatorluğu'nun kapsamlı modernleşme reformlarını başlattı. Ferman, tüm Osmanlı tebaasının din farkı gözetmeksizin can, mal ve namus güvenliğini garanti ediyor, vergi adaleti ve askere alma düzenlemesi vaat ediyordu. Hariciye Nâzırı Mustafa Reşid Paşa'nın eseri olan bu belge, Osmanlı'nın geleneksel İslam devlet yapısından modern anayasal düzene geçiş sürecinin başlangıç noktasıdır.","In 1839, the Gülhane Edict (Tanzimat Decree) proclaimed by Sultan Abdulmejid launched comprehensive modernization reforms in the Ottoman Empire. The edict guaranteed the safety of life, property and honor for all Ottoman subjects regardless of religion, promising tax equity and military service reform. The work of Foreign Minister Mustafa Reshid Pasha, this document was the starting point of the Ottoman transition from traditional Islamic state structure to modern constitutional order.","Tanzimat, Osmanlı'nın Batı tarzı hukuki eşitlik ve vatandaşlık kavramlarını resmi olarak benimsemesinin başlangıcıdır.","31","","",""
"31","I. Meşrutiyet","First Ottoman Constitution","1876","1293","41.01","28.98","İstanbul","130","Hukuki","Yüksek","Mithat Paşa; Kanun-i Esasi; ilk anayasa ve parlamento","1876'da Mithat Paşa'nın öncülüğünde Kanun-i Esasi ilan edilerek Osmanlı İmparatorluğu'nun ilk anayasası ve parlamentosu (Meclis-i Mebûsan) oluşturuldu. Bu anayasa, İslam dünyasındaki ilk modern anayasal deneyimdir. Ancak Sultan II. Abdülhamid, 1877-78 Osmanlı-Rus Savaşı'nı gerekçe göstererek Meclis'i feshetti ve otuz yıllık istibdat dönemini başlattı. I. Meşrutiyet kısa ömürlü olsa da, İslam dünyasında anayasal yönetim fikrinin tohumlarını ekti.","In 1876, the Kanun-i Esasi was proclaimed under Midhat Pasha's leadership, creating the Ottoman Empire's first constitution and parliament (Meclis-i Mebusan). This was the first modern constitutional experiment in the Islamic world. However, Sultan Abdulhamid II, using the 1877-78 Russo-Turkish War as pretext, dissolved the parliament and began thirty years of autocratic rule. Though short-lived, the First Constitutional Era planted the seeds of constitutional governance in the Islamic world.","I. Meşrutiyet, İslam dünyasında modern parlamenter yönetimin ilk uygulamasıdır ve Jön Türk hareketinin entelektüel temelini oluşturdu.","32","30","",""
"32","Osmanlı'nın Yıkılışı / Hilafet'in Kaldırılması","Abolition of the Caliphate","1924","1342","39.93","32.85","Ankara, Türkiye","130","Siyasi","Kritik","1400 yıllık hilafet kurumunun sonu","1924'te Türkiye Büyük Millet Meclisi, Osmanlı hanedanını sürgüne gönderdikten sonra hilafet makamını da kaldırdı. Hz. Muhammed'den bu yana 1.300 yılı aşkın süredir (kesintilerle) devam eden bu kurum, modern ulus-devlet anlayışıyla bağdaşmaz görüldü. Son halife Abdülmecid Efendi sürgüne gönderildi. Hilafet'in kaldırılması İslam dünyasında derin tartışmalar yarattı; bazıları bunu İslam birliğinin sembolik sonunu görürken, diğerleri modern yönetim biçimlerinin kaçınılmaz bir sonucu olarak değerlendirdi.","In 1924, the Turkish Grand National Assembly abolished the caliphate after having already exiled the Ottoman dynasty. This institution, which had continued (with interruptions) for over 1,300 years since Prophet Muhammad, was deemed incompatible with modern nation-state governance. The last caliph, Abdulmejid Efendi, was sent into exile. The abolition provoked deep debate in the Islamic world; some saw it as the symbolic end of Islamic unity, while others viewed it as an inevitable consequence of modern governance.","Hilafet'in kaldırılması, İslam dünyasının tek bir siyasi-dini otorite etrafında birleşme geleneğinin kesin sonudur.","","31","42",""
"33","İran'da Şiîliğin Resmî Mezhep Olması","Twelver Shiism as State Religion","1501","907","38.08","46.29","Tebriz","148","Dini","Kritik","Şah İsmail; İran'ın kimliğini belirleyen dönüm noktası","1501'de Safevî Şah İsmail, Tebriz'i alarak İsnâaşeriyye (On İki İmam) Şiîliğini İran'ın resmi devlet mezhebi ilan etti. O güne kadar İran'ın büyük bölümü Sünnî nüfusa sahipti; Şah İsmail'in politikası, bazen zorla, İran'ın dini kimliğini kökten değiştirdi. Bu karar, İran'ı İslam dünyasının geri kalanından ayrıştıran ve bugüne kadar süren mezhepsel kimliğin temelini attı. Osmanlı-Safevî rekabeti de büyük ölçüde bu mezhepsel ayrım üzerinden şekillendi.","In 1501, Safavid Shah Ismail captured Tabriz and declared Twelver Shiism as Iran's official state religion. Until then, much of Iran had a Sunni population; Shah Ismail's policy, sometimes through coercion, fundamentally changed Iran's religious identity. This decision laid the foundation for the sectarian identity that distinguished Iran from the rest of the Islamic world — a distinction that persists to this day. The Ottoman-Safavid rivalry was largely shaped by this sectarian divide.","İran'ın Şiîleşmesi, İslam dünyasının en kalıcı mezhepsel-coğrafi ayrımını yaratarak Ortadoğu siyasetini bugüne kadar etkileyen bir yapısal gerçeklik oluşturdu.","34","","27",""
"34","İsfahan — Nakş-ı Cihan Meydanı","Naqsh-e Jahan Square","1598","1006","32.66","51.68","İsfahan","148","Mimari","Yüksek","Şah Abbas; UNESCO Dünya Mirası; İsfahan'ın altın çağı","1598'de Safevî Şah Abbas, başkenti İsfahan'a taşıyarak şehrin merkezine Nakş-ı Cihan Meydanı'nı inşa ettirdi. Dünyanın en büyük meydanlarından biri olan bu alan, Şah Camii, Şeyh Lütfullah Camii, Âlî Kapu Sarayı ve Kayseri-i Büzürg çarşısıyla çevriliydi. 'İsfahan, nısf-ı cihân' (İsfahan, dünyanın yarısıdır) sözü bu dönemde yaygınlaştı. Safevî İsfahan'ı, İslam şehircilik ve mimari estetiğinin en rafine örneğidir.","In 1598, Safavid Shah Abbas moved the capital to Isfahan and built the Naqsh-e Jahan Square at its center. One of the world's largest squares, this space was surrounded by the Shah Mosque, Sheikh Lotfollah Mosque, Ali Qapu Palace and the Grand Bazaar. The saying 'Isfahan is half the world' became popular in this era. Safavid Isfahan represents the most refined example of Islamic urbanism and architectural aesthetics.","Nakş-ı Cihan Meydanı, İslam şehir planlama geleneğinin en görkemli bütünsel uygulamasıdır ve Safevî sanat estetiğinin sembolüdür.","","33","",""
"35","Tâc Mahal İnşası","Construction of Taj Mahal","1643","1053","27.17","78.04","Agra, Hindistan","175","Mimari","Kritik","Şah Cihan; dünyanın en ünlü yapılarından biri","1643'te Bâbürlü hükümdarı Şah Cihan, eşi Mümtaz Mahal'in anısına Agra'da Tâc Mahal'in inşaatını başlattı. Yirmi yılda tamamlanan bu beyaz mermer türbe, İslam mimarisinin, Fars bahçe geleneğinin ve Hint zanaatkârlığının mükemmel bir sentezini oluşturur. Geometrik mükemmeliyeti, ışık oyunları ve su yansımaları ile Tâc Mahal dünya mimarlık tarihinin en tanınmış yapısıdır. Yapım maliyeti Bâbürlü hazinesini zorlarken, Şah Cihan'ın oğlu Evrengzîb tarafından tahttan indirilmesine dolaylı katkı sağladı.","In 1643, Mughal ruler Shah Jahan began construction of the Taj Mahal in Agra in memory of his wife Mumtaz Mahal. Completed over twenty years, this white marble mausoleum represents a perfect synthesis of Islamic architecture, Persian garden tradition and Indian craftsmanship. With its geometric perfection, light effects and water reflections, the Taj Mahal is the most recognizable building in world architectural history. Its construction cost strained the Mughal treasury and indirectly contributed to Shah Jahan's deposition by his son Aurangzeb.","Tâc Mahal, İslam-Hint mimari sentezinin en yüksek noktasıdır ve İslam medeniyetinin evrensel estetik mirasının en bilinen sembolüdür.","","","",""
"36","Ekber'in Dîn-i İlâhî'si","Akbar's Din-i-Ilahi","1582","990","27.18","78.02","Fetihpûr Sikri","175","Dini","Yüksek","Ekber Şah'ın dinler arası diyalog denemesi","1582'de Bâbürlü İmparatoru Ekber, Fetihpûr Sikri'de tüm dinlerin ortak yönlerini birleştirmeyi amaçlayan 'Dîn-i İlâhî' (İlahi Din) doktrinini ilan etti. Müslüman, Hindu, Hristiyan, Zerdüşt ve Jain temsilcileriyle İbadethane (ibadet evi) toplantıları düzenleyen Ekber, dinler arası diyalogun en erken ve en radikal denemelerinden birini gerçekleştirdi. Hareket az sayıda takipçi kazandı ve Ekber'in ölümüyle sona erdi, ancak Bâbürlü hoşgörü geleneğinin sembolik zirvesini temsil eder.","In 1582, Mughal Emperor Akbar proclaimed the 'Din-i Ilahi' (Divine Faith) at Fatehpur Sikri, aiming to synthesize common elements of all religions. Organizing Ibadatkhana (House of Worship) meetings with Muslim, Hindu, Christian, Zoroastrian and Jain representatives, Akbar conducted one of the earliest and most radical experiments in interfaith dialogue. The movement gained few followers and ended with Akbar's death, but it represents the symbolic zenith of the Mughal tolerance tradition.","Dîn-i İlâhî, İslam tarihinde devlet düzeyinde girişilen en kapsamlı dinler arası diyalog denemesidir.","","","",""
"37","Timbuktu — Sankore Medresesi Altın Çağı","Golden Age of Sankore","1450","854","16.77","-3.01","Timbuktu, Mali","58","Bilimsel","Yüksek","25.000 öğrenci; yüz binlerce el yazması; Batı Afrika'nın entelektüel merkezi","15. yüzyıl ortalarında Timbuktu'daki Sankore Medresesi altın çağını yaşıyordu. Şehirde 25.000 civarında öğrenci eğitim görüyor, yüz binlerce el yazması üretiliyor ve saklanıyordu. Hukuk, astronomi, matematik, tıp ve İslam bilimleri öğretilen Sankore, Batı Afrika'nın entelektüel merkezi ve İslam dünyasının en güney noktasındaki büyük bilim merkeziydi. Timbuktu el yazmaları bugün UNESCO Dünya Mirası listesinde korunan paha biçilmez bir kültürel hazinedir.","In the mid-15th century, the Sankore Madrasa in Timbuktu was experiencing its golden age. The city educated approximately 25,000 students, producing and preserving hundreds of thousands of manuscripts. Teaching law, astronomy, mathematics, medicine and Islamic sciences, Sankore was West Africa's intellectual center and the southernmost great center of learning in the Islamic world. The Timbuktu manuscripts remain a priceless cultural treasure protected on the UNESCO World Heritage list.","Sankore, İslam medeniyetinin Sahra altı Afrika'daki en parlak entelektüel başarısını temsil eder ve İslam'ın küresel yayılımının derinliğini kanıtlar.","","","",""
"38","Kurtuba Camii İnşası","Great Mosque of Cordoba","785","169","37.88","-4.78","Kurtuba (Córdoba)","4","Mimari","Kritik","İslam İspanyası'nın simgesi; UNESCO Dünya Mirası","785'te Endülüs Emevî emîri I. Abdurrahman, Kurtuba'da (Córdoba) eski bir Vizigot kilisesinin yerine Büyük Cami'nin inşaatını başlattı. Sonraki iki yüz yıl boyunca genişletilen cami, çift katlı at nalı kemerli sütun ormanıyla İslam mimarisinin en özgün yapılarından biri haline geldi. Kurtuba Camii, İslam İspanyası'nın simgesi ve İslam ile Roma-Vizigot mimari geleneğinin benzersiz senteziydi. Reconquista sonrası kiliseye dönüştürülmesine rağmen İslam karakterini korumuştur.","In 785, Umayyad emir Abd al-Rahman I began construction of the Great Mosque of Cordoba on the site of an old Visigothic church. Expanded over the following two centuries, the mosque, with its forest of double-tiered horseshoe arches, became one of Islamic architecture's most original structures. The Cordoba Mosque was the symbol of Islamic Spain and a unique synthesis of Islamic and Roman-Visigothic architectural traditions. Though converted to a church after the Reconquista, it retains its Islamic character.","Kurtuba Camii, İslam Endülüs estetiğinin kurucu yapısıdır ve Doğu-Batı mimari sentezinin en erken ve en etkili örneğidir.","","10","",""
"39","Medinetüzzehrâ Sarayı","Madinat al-Zahra Palace City","936","324","37.88","-4.87","Kurtuba yakını","4","Mimari","Yüksek","III. Abdurrahman'ın saray şehri; İslam medeniyetinin ihtişamı","936'da Endülüs Emevî halifesi III. Abdurrahman, Kurtuba yakınında Medinetüzzehrâ saray şehrini inşa ettirmeye başladı. Hilafet ilan etmesinin ardından Abbâsîlere ve Fâtımîlere karşı güç gösterisi olarak tasarlanan bu devasa proje, binlerce işçi ve zanaatkârla on yılda tamamlandı. Mermer, fildişi, altın ve değerli taşlarla bezeli saray, İslam dünyasının en görkemli yapı komplekslerinden biriydi. Ancak Endülüs iç savaşlarında (fitne) 1010'da yağmalanarak büyük ölçüde tahrip edildi.","In 936, Andalusian Umayyad caliph Abd al-Rahman III began constructing the palace city of Madinat al-Zahra near Cordoba. Designed as a display of power against the Abbasids and Fatimids after his declaration of the caliphate, this massive project was completed over ten years with thousands of workers and artisans. Adorned with marble, ivory, gold and precious stones, the palace was one of the most magnificent building complexes in the Islamic world. However, it was sacked and largely destroyed during the Andalusian civil wars (fitna) in 1010.","Medinetüzzehrâ, Endülüs Emevî hilafetinin ihtişamını ve siyasi iddiasını somutlaştıran ancak kısa ömürlü olan mimari manifestodur.","","","",""
"40","Endülüs'te Tercüme Hareketi","Toledo Translation Movement","1150","545","39.86","-4.02","Tuleytula (Toledo)","","Bilimsel","Kritik","Arapça eserlerin Latince'ye çevirisi; Avrupa Rönesansı'nın temeli","12. yüzyıldan itibaren Toledo (Tuleytula), Arapça bilimsel eserlerin Latince'ye çevrildiği büyük tercüme merkezine dönüştü. 1085'te Hristiyan Kastilya tarafından alınan şehirde, Arap, Yahudi ve Hristiyan bilginler birlikte çalışarak Aristo, İbn Sînâ, el-Hârizmî, İbn Rüşd ve diğerlerinin eserlerini Latince'ye kazandırdı. Bu tercüme hareketi, antik bilginin İslam dünyasındaki yorumlarını Avrupa'ya taşıyarak Rönesans'ın entelektüel temellerini hazırladı.","From the 12th century onward, Toledo became a major center where Arabic scientific works were translated into Latin. In this city, captured by Christian Castile in 1085, Arab, Jewish and Christian scholars worked together translating the works of Aristotle, Avicenna, al-Khwarizmi, Averroes and others into Latin. This translation movement carried the Islamic world's interpretations of ancient knowledge to Europe, preparing the intellectual foundations of the Renaissance.","Toledo Tercüme Hareketi, İslam entelektüel mirasının Avrupa'ya aktarılmasının en sistematik kanalıydı ve Batı bilim devriminin dolaylı öncüsüdür.","","10","","22,23,24"
"41","Malakka Sultanliği'nın Kuruluşu","Foundation of Malacca Sultanate","1400","802","2.2","102.25","Malakka","181","Siyasi","Yüksek","Güneydoğu Asya'da İslam'ın yayılmasında kritik rol","1400 civarında Parameswara tarafından kurulan Malakka Sultanlığı, Güneydoğu Asya'da İslam'ın yayılmasında merkezi rol oynadı. Malakka Boğazı'nın stratejik konumu sayesinde şehir, Çin, Hindistan ve Spice Islands arasındaki ticaretin en önemli kavşağı haline geldi. Hindistan'dan gelen tüccarlar aracılığıyla İslam'a geçen sultanlık, İslam'ı bölgenin lingua franca'sı olan Malay dili ve kültürüyle birleştirerek Güneydoğu Asya müslümanlığının temellerini attı.","The Malacca Sultanate, founded around 1400 by Parameswara, played a central role in the spread of Islam in Southeast Asia. Thanks to the Strait of Malacca's strategic position, the city became the most important trading hub between China, India and the Spice Islands. Converting to Islam through Indian traders, the sultanate laid the foundations of Southeast Asian Islam by merging it with the Malay language and culture — the region's lingua franca.","Malakka, İslam'ın Güneydoğu Asya'ya yayılmasındaki en kritik siyasi ve ticari merkezdir.","42","","",""
"42","Portekiz'in Malakka'yı İşgali","Portuguese Conquest of Malacca","1511","917","2.2","102.25","Malakka","181","Siyasi","Kritik","Avrupa sömürgeciliğinin Güneydoğu Asya'ya girişi","1511'de Portekiz, Alfonso de Albuquerque komutasında Malakka'yı işgal ederek İslam dünyasının en doğusundaki büyük ticaret merkezini ele geçirdi. Bu olay, Avrupa sömürgeciliğinin Güneydoğu Asya'ya girişinin sembolik başlangıcıdır. Portekizliler baharat ticaretinin kontrolünü hedefliyordu; Malakka'nın düşüşü, bölgedeki Müslüman ticaret ağlarını kalıcı olarak bozdu. Malakka sultanlığı güneye çekilip Johor'u kursa da, eski gücüne bir daha ulaşamadı.","In 1511, Portugal under Alfonso de Albuquerque seized Malacca, capturing the easternmost great trading center of the Islamic world. This event was the symbolic beginning of European colonialism's entry into Southeast Asia. The Portuguese aimed to control the spice trade; Malacca's fall permanently disrupted Muslim trading networks in the region. Though the Malacca sultanate retreated south and founded Johor, it never regained its former power.","Malakka'nın düşüşü, Avrupa deniz güçlerinin İslam dünyasının ticaret hegemonyasını kırmaya başladığı dönüm noktasıdır.","","41","",""
"43","Napolyon'un Mısır Seferi","Napoleon's Expedition to Egypt","1798","1213","30.04","31.24","Kahire","","Siyasi","Kritik","İslam dünyasının Batı modernizasyonuyla karşılaşması","1798'de Napolyon Bonapart, Mısır'a çıkarma yaparak İslam dünyasının Batı modernizasyonuyla doğrudan yüzleşmesini başlattı. Memlûk süvarisini Piramitler Savaşı'nda kolayca yenen Fransız ordusu, yanında bilim adamları ve matbaa da getirmişti. Osmanlı-İngiliz ittifakı Napolyon'u geri çekilmeye zorlasa da, sefer İslam dünyasında 'modernleşme şoku'nu tetikledi. Mehmed Ali Paşa'nın Mısır'ı modernleştirme çabası bu deneyimin doğrudan sonucudur.","In 1798, Napoleon Bonaparte landed in Egypt, initiating the Islamic world's direct confrontation with Western modernization. The French army, which easily defeated the Mamluk cavalry at the Battle of the Pyramids, also brought scientists and a printing press. Though an Ottoman-British alliance forced Napoleon to withdraw, the expedition triggered a 'modernization shock' in the Islamic world. Muhammad Ali Pasha's efforts to modernize Egypt were a direct result of this experience.","Napolyon'un Mısır seferi, İslam dünyasının Batı askeri ve teknolojik üstünlüğüyle yüzleşerek modernleşme sürecini başlattığı sembolik kırılma noktasıdır.","","","",""
"44","Vehhâbî Hareketi","Wahhabi Movement","1744","1157","24.63","46.72","Dir'iyye, Necd","55","Dini","Yüksek","Muhammed b. Abdülvehhâb ve Suud ittifakı; modern Suudi devletinin temeli","1744'te İslam reformcusu Muhammed b. Abdülvehhâb ile Necd'in yerel emîri Muhammed b. Suûd ittifak kurdu. Abdülvehhâb'ın 'saf tevhid'e dönüş çağrısı — türbe ziyareti, evliya kültü ve bid'atlere karşı sert tutum — Suud ailesinin siyasi gücüyle birleşti. Bu ittifak, Birinci Suudi Devleti'nin temelini oluşturdu ve modern Suudi Arabistan'ın ideolojik kökenlerini belirledi. Vehhâbîlik, İslam dünyasındaki en etkili reform/ihya hareketlerinden biri olarak tartışmalı ama güçlü bir miras bıraktı.","In 1744, Islamic reformer Muhammad ibn Abd al-Wahhab allied with Muhammad ibn Saud, the local emir of Najd. Abd al-Wahhab's call for 'return to pure monotheism' — taking a strict stance against tomb visitation, saint cults and innovations — merged with the Saud family's political power. This alliance laid the foundation of the First Saudi State and determined the ideological origins of modern Saudi Arabia. Wahhabism left a controversial but powerful legacy as one of the most influential reform/revival movements in the Islamic world.","Vehhâbî-Suud ittifakı, modern İslam siyasetinde din-devlet ilişkisinin en etkili modellerinden birini yaratarak Arap Yarımadası'nın siyasi haritasını değiştirdi.","","","",""
"45","Süveyş Kanalı Açılışı","Opening of Suez Canal","1869","1286","30.46","32.34","İsmailiye, Mısır","","Ekonomik","Kritik","Dünya ticaretinin dönüşümü; Mısır'ın stratejik öneminin artması","1869'da Süveyş Kanalı'nın açılışı, dünya ticaretinin coğrafyasını köklü biçimde değiştirdi. Mısır hidivi İsmail Paşa'nın prestij projesi olan kanal, Akdeniz ile Kızıldeniz'i birleştirerek Avrupa-Asya deniz yolculuğunu binlerce mil kısalttı. Ancak devasa borçlanma Mısır'ın mali bağımsızlığını kaybetmesine ve 1882'de İngiliz işgaline zemin hazırladı. Kanal, Mısır'ın stratejik önemini artırdığı kadar, sömürgecilik tuzağına düşmesinin de aracı oldu.","The opening of the Suez Canal in 1869 fundamentally changed the geography of world trade. A prestige project of Egyptian Khedive Ismail Pasha, the canal connected the Mediterranean and Red Sea, shortening the Europe-Asia sea voyage by thousands of miles. However, the enormous debt led to Egypt losing its financial independence and prepared the ground for British occupation in 1882. The canal increased Egypt's strategic importance as much as it became the instrument of its fall into the colonial trap.","Süveyş Kanalı, Mısır'ın modern dünya ticaretinin stratejik merkezlerinden biri haline gelmesini sağlarken, sömürgeci müdahalenin de kapısını açtı.","","","",""
