link_id,source_type,source_id,target_type,target_id,link_type,description_tr,description_en
168,dynasty,130,event,39,expansion,İstanbul'un fethi Osmanlıları Roma'nın mirasçısı yaptı,The conquest of Constantinople made the Ottomans heirs of Rome
169,event,39,monument,22,influence,İstanbul'un fethi Osmanlı mimari geleneğinin Bizans mirasıyla sentezini başlattı,The conquest of Constantinople initiated the synthesis of Ottoman architecture with Byzantine heritage
170,dynasty,75,scholar,10,context,Büveyhî Şiî düzeni İbn Sînâ'nın çok-hanedanlı dünyada yetişmesine zemin hazırladı,The Buyid Shi'i order prepared the ground for Avicenna's development in a multi-dynastic world
171,dynasty,144,scholar,31,patronage,Hüseyin Baykara Alî Şîr Nevâîî'yi himaye ederek Çağatay edebiyatının altın çağını yarattı,Husayn Bayqara created the golden age of Chagatai literature by patronizing Ali Shir Nava'i
172,dynasty,130,dynasty,107,conquest,Osmanlılar Anadolu beyliklerini ilhak ederek Anadolu'da birliği sağladı,The Ottomans achieved unity in Anatolia by annexing the Anatolian principalities
173,dynasty,175,dynasty,170,conquest,Bâbürlü Evrengzîb Dekkan sultanlıklarını fethetti,Mughal Aurangzeb conquered the Deccan sultanates
174,dynasty,175,dynasty,173,conquest,Bâbürlü Evrengzîb Golkonda'yı fethetti,Mughal Aurangzeb conquered Golconda
175,event,38,dynasty,4,cultural,Kurtuba Ulu Camii Endülüs İslam medeniyetinin mimari simgesi oldu,The Great Mosque of Cordoba became the architectural symbol of Andalusian Islamic civilization
176,dynasty,17,dynasty,21,succession,Alevî Şerifler Merînî-Vattâsî düzeninin çöküşüyle Fas'ta iktidara geldi,The Alawi Sharifs came to power in Morocco after the Marinid-Wattasid order collapsed
177,dynasty,180,dynasty,149,succession,Ahmed Şâh Dürrânî Nâdir Şah'ın ölümüyle Afganistan'ı kurdu,Ahmad Shah Durrani founded Afghanistan upon Nadir Shah's death
178,dynasty,99,dynasty,89,conquest,Hârezmşah Celâleddîn İldenizlileri yıktı,Khwarazm Shah Jalal al-Din destroyed the Eldiguzids
179,dynasty,73,dynasty,99,succession,İldenizliler Şeddâdîlerin bölgedeki mirasını devraldı,The Eldiguzids inherited the Shaddadid legacy in the region
180,dynasty,91,dynasty,73,influence,Selçuklu baskısı Şeddâdî gücünü sınırladı,Seljuq pressure limited Shaddadid power
181,dynasty,27,event,18,foundation,Fâtımîler Ezher'i kurarak İslam'ın en eski süregelen üniversitesini yarattı,The Fatimids created Islam's oldest continuing university by founding al-Azhar
182,dynasty,91,event,20,foundation,Selçuklu veziri Nizâmülmülk Nizâmiye medreselerini kurdu,Seljuq vizier Nizam al-Mulk founded the Nizamiyyah madrasas
183,event,10,dynasty,4,foundation,Endülüs'ün fethi Emevî kültürünün İspanya'da kökleşmesini sağladı,The conquest of al-Andalus enabled Umayyad culture to take root in Spain
184,dynasty,63,dynasty,65,succession,Zengibar Bû Saîdîleri Doğu Afrika'daki Nâbhânî mirasını genişletti,The Zanzibar Bu Saidi expanded the Nabhani legacy in East Africa
185,dynasty,64,dynasty,65,succession,Bû Saîdîler Mezrûî valiliğini sona erdirerek Zengibar'ı doğrudan yönetti,The Bu Saidi ended Mazrui governorship governing Zanzibar directly
186,dynasty,181,dynasty,182,influence,Malakka'nın düşüşü Açe'nin Güneydoğu Asya İslam'ının yeni merkezi olmasını sağladı,The fall of Malacca enabled Aceh to become the new center of Southeast Asian Islam
187,dynasty,3,dynasty,69,influence,Abbâsî otoritesinin zayıflaması Deylem bölgesinde yerel hanedanların yükselişini sağladı,The weakening of Abbasid authority enabled the rise of local dynasties in the Daylam region
188,dynasty,144,dynasty,139,conquest,Timur Kurtları yıkarak Herât'ı kendi kültürel merkezine dönüştürdü,Timur destroyed the Karts transforming Herat into his own cultural center
189,dynasty,144,dynasty,140,conquest,Timur Muzafferîleri tasfiye ederek Fars'ı imparatorluğuna dahil etti,Timur liquidated the Muzaffarids incorporating Fars into his empire
190,dynasty,144,dynasty,134,conquest,Timur'un seferleri Altın Orda'yı kalıcı olarak zayıflattı,Timur's campaigns permanently weakened the Golden Horde
191,dynasty,31,dynasty,130,rivalry,Memlûk-Osmanlı rekabeti Suriye ve Mısır'ın kontrolü için şekillendi,The Mamluk-Ottoman rivalry was shaped over control of Syria and Egypt
192,monument,11,dynasty,107,cultural,Konya Alâeddin Camii Anadolu Selçuklu mimari geleneğinin temsilcisidir,The Konya Alaeddin Mosque represents the Anatolian Seljuq architectural tradition
193,monument,34,dynasty,181,cultural,Demak Ulu Camii Güneydoğu Asya'da İslam mimarisinin erken örneğidir,The Great Mosque of Demak is an early example of Islamic architecture in Southeast Asia
194,dynasty,3,dynasty,70,delegation,Abbâsîler Azerbaycan valiliğini Sâcîlere bıraktı,The Abbasids delegated Azerbaijan governorship to the Sajids
195,dynasty,107,dynasty,125,succession,Eretnaoğulları İlhanlı valiliğinden Orta Anadolu'da bağımsızlaştı,The Eretna gained independence from Il-Khanid governorship in central Anatolia
196,dynasty,125,dynasty,126,coup,Kadı Burhâneddin Eretnaoğullarını devirerek Sivas'ta iktidarı ele geçirdi,Qadi Burhan al-Din overthrew the Eretna seizing power in Sivas
197,dynasty,91,dynasty,75,conquest,Selçuklular Büveyhîleri yıkarak Sünnî İslam'ın yeniden yükselişini başlattı,The Seljuqs destroyed the Buyids initiating the resurgence of Sunni Islam
198,dynasty,90,dynasty,83,conquest,Karahanlılar Sâmânîlerin Mâverâünnehir topraklarını fethetti,The Qarakhanids conquered Samanid territories in Transoxiana
199,dynasty,158,dynasty,91,rivalry,Selçuklu-Gazneli rekabeti Dandanakan'da Selçuklu zaferiyle sonuçlandı,The Seljuq-Ghaznavid rivalry concluded with the Seljuq victory at Dandanaqan
200,dynasty,182,dynasty,130,diplomatic,Açe Sultanlığı Osmanlı İmparatorluğu ile diplomatik ilişki kurdu,The Aceh Sultanate established diplomatic relations with the Ottoman Empire
