"dynasty_id","dynasty_name_tr","dynasty_name_ar","dynasty_name_en","parent_tribe_or_clan","ethnic_origin","region_primary","regions_all","capital_city","date_start_hijri","date_end_hijri","date_start_ce","date_end_ce","sub_branch","allied_dynasties","rival_dynasties","predecessor","successor","end_cause","migration_conquest_notes","chapter","notes","ethnic_tags","government_type","religious_orientation","importance_level","capital_lat","capital_lon","duration_years_approx","century_start","century_end","geographic_zone","region_center_lat","region_center_lon","region_bbox_n","region_bbox_s","region_bbox_e","region_bbox_w","governance_detail","religious_detail","military_system","economic_base","cultural_tags","historical_period","narrative_tr","narrative_en","key_contribution_tr","key_contribution_en","rise_reason_tr","fall_reason_tr","context_before_tr","context_after_tr"
"82","Tâhirîler ve Mus'abîler","al-Tāhiriyyūn wa-al-Mus'abiyyūn","The Tāhirids and Mus'abids","Huzâ'a kabilesi (Arap)","Arap (Huzâ'a / mevâlî)","Horasan ve Bağdat","Horasan (Nîşâbûr); Bağdat (şurta komutanları)","Nîşâbûr (Horasan); Bağdat (şurta)","205","259","821","873","1. Horasan valileri; 2. Bağdat şurta (askeri polis) komutanları","Abbâsîler (sadık tâbi)","Saffârîler","Abbâsî valileri","Saffârîler (Horasan'ı aldı, 259/873)","Saffârî Ya'kūb b. Leys Horasan'ı fethetti (259/873)","Tâhir b. Hüseyin al-Me'mûn'un hilafet mücadelesinde kilit rol oynadı; ödül olarak Horasan valiliği; Bağdat'ta ayrı şurta kolu devam etti","Chapter 10: Eastern Persian Lands","İlk fiilen bağımsız İran hanedanı; Abbâsîlere sadık ama otonom; Horasan'da İslam kültürünün gelişimi; sikke bastılar","Arap","Hanedan/Beylik","","Normal","33.31","44.37","52","9","9","Irak/Cezîre","34.0","51.7","38.0","30.0","57.0","46.0","Federal/Konfederasyon","Şiî İsnâaşerî","Gulâm/Memlûk Sistemi","Ticaret/Transit","Mimari;Edebiyat","Erken Abbâsî","Tâhirîler, Abbâsî hizmetinde yükselmiş Huzâ'a kökenli bir aile olarak ilk fiilen bağımsız İran hanedanını oluşturdular. Horasan'da İslam kültürünün gelişimine katkıda bulunan ve aynı zamanda Bağdat'ta şurta (polis) teşkilatını yöneten bu hanedan, Abbâsîlere sadık kalarak otonom bir yönetim sürdürdü.","The Tāhirids, a family of Khuzā'a origin who rose through Abbasid service, formed the first effectively independent Iranian dynasty. Contributing to the development of Islamic culture in Khurasan while also running the shurta (police) organization in Baghdad, this dynasty maintained an autonomous administration while remaining loyal to the Abbasids.","İlk fiilen bağımsız İran hanedanı olarak Horasan'da otonom İslam yönetiminin modelini oluşturdular.","As the first effectively independent Iranian dynasty, they created the model for autonomous Islamic governance in Khurasan.","Abbâsî iç savaşlarında Me'mûn tarafını tutan Tâhir b. Hüseyin, ödül olarak Horasan valiliğini aldı ve ailesini kalıcılaştırdı.","Saffârî Ya'kūb b. Leys, Horasan'ı fethederek Tâhirî yönetimini sona erdirdi (873).","Abbâsî iç savaşı (Emîn-Me'mûn) sonrasında Horasan, yeni bir siyasi düzenlemeye ihtiyaç duyuyordu.","Saffârîler Horasan'ı ele geçirdi; ardından Sâmânîler bölgenin yeni ve daha güçlü hakimi olarak yükseldiler."
"83","Sâmânîler","al-Sāmāniyyūn","The Sāmānids","Sâmân-hudât ailesi (Belh İranî soyluları)","İranî (Pers)","Mâverâünnehir ve Horasan","Buhara; Semerkand; Nîşâbûr; Horasan; Mâverâünnehir; Fergana","Buhara","261","395","875","1005","","Abbâsîler (bağlılık)","Saffârîler; Gazneliler; Karahanlılar","Tâhirîler / Saffârîler","Gazneliler (Horasan); Karahanlılar (Mâverâünnehir)","Gazneli ve Karahanlı baskısı; son emirin öldürülmesi (395/1005)","Sâmân-hudât ailesinin torunları Mâverâünnehir şehirlerinde vali; İsmâîl b. Ahmed Saffârîleri yenerek Horasan'ı da aldı","Chapter 10: Eastern Persian Lands","Fars edebiyatının altın çağı; Firdevsî, Rûdekî döneminde; Buhara İslam dünyasının en büyük kültür merkezlerinden; Türk gulâm asker sistemi; sikke bastılar (o); Abbâsî bağlılığı sürdü","İranî","Hanedan/Beylik","","Yüksek","39.77","64.42","130","9","11","Doğu İran/Mâverâünnehir","32.7","51.7","33.5","31.5","53.0","50.0","Vasal Devlet","Sünnî Hanefî","Gulâm/Memlûk Sistemi","Tarım","","Erken Abbâsî","Sâmânîler, Abbâsî hakimiyeti altında Mâverâünnehir'de yükselen ve Fars kültürel rönesansının mimarı olan ilk büyük yerli İran hanedanıdır. İslam sonrası İran edebiyatının doğuşunu himaye ederek Firdevsî'nin Şehnâme geleneğinin temellerini attılar. Buhara'yı İslam dünyasının en parlak entelektüel merkezlerinden birine dönüştüren Sâmânîler, aynı zamanda İbn Sînâ gibi evrensel düşünürlerin yetiştiği ortamı hazırladılar.","The Samanids were the first major native Iranian dynasty to rise under Abbasid suzerainty in Transoxiana, architecting the Persian cultural renaissance. They patronized the birth of post-Islamic Persian literature, laying foundations for Ferdowsi's Shahnameh tradition. Transforming Bukhara into one of the Islamic world's most brilliant intellectual centers, the Samanids also prepared the environment that nurtured universal thinkers like Ibn Sina.","İslam sonrası Fars edebiyatı ve kültürel kimliğinin yeniden doğuşunu himaye ettiler.","They patronized the rebirth of post-Islamic Persian literature and cultural identity.","Abbâsî valileri olarak Mâverâünnehir'de güç kazandılar; İranlı dihkan (toprak aristokrasisi) desteğiyle fiili bağımsızlık elde ettiler.","Karahanlı Türklerinin kuzeyden ve Gaznelilerin güneyden eş zamanlı baskısıyla parçalanarak yıkıldılar; son emir öldürüldü.","Abbâsî merkezi otoritesinin doğu eyaletlerinde zayıflamasıyla yerel İranlı hanedanlar (Tâhirîler, Saffârîler) bağımsızlık aradı.","Mâverâünnehir Karahanlılara, Horasan Gaznelilere geçti; Sâmânî kültürel mirası her iki hanedan tarafından devam ettirildi."
"84","Saffârîler","al-Saffāriyyūn","The Saffārids","Leys ailesi (Sîstân halk kökenli)","İranî (Pers / Sîstânlı)","Sîstân (Sistan)","Sîstân; Horasan (geçici); Kirmân (geçici); Fars (geçici)","Zerenc (Zarang)","247","c. 900","861","c. 1495","1. Leysî kolu; 2. Halefî kolu","","Abbâsîler; Sâmânîler; Gazneliler; Timurlular","Yerel 'ayyâr' hareketleri","Timurlu/Safevî yönetimi","Leysî kol: Sâmânîler tarafından mağlup (287/900); Halefî kol Sîstân'da çok uzun süre devam etti","Ya'kūb b. Leys bakırcı (saffâr) kökenli; 'ayyâr' gönüllü hareketi; Horasan'ı Tâhirîlerden aldı; Bağdat'a yürüdü ama yenildi (262/876)","Chapter 10: Eastern Persian Lands","2 kol; Ya'kūb b. Leys halk kökenli tek büyük İslam hanedanı kurucusu; Leysî kol kısa ama parlak; Halefî kol Sîstân'da yüzyıllarca yerel güç; sikke bastılar","İranî","Hanedan/Beylik","","Normal","30.95","61.87","634","9","15","Doğu İran/Mâverâünnehir","37.0","61.0","39.0","34.0","67.0","57.0","Merkezi İmparatorluk","Sünnî Hanefî","Gulâm/Memlûk Sistemi","Ticaret/Transit","Kütüphane;Edebiyat;Mimari;Bilim/Rasathane","Selçuklu Çağı","Saffârîler, halk kökenli tek büyük İslam hanedanı kurucusu Ya'kūb b. Leys'in liderliğinde Sîstân'da yükselen ve kısa sürede Horasan'a hakim olan İranî hanedandır. İlk güçlü Leysî kol Sâmânîlere yenilse de, Halefî kolu Sîstân'da asırlarca varlığını sürdürdü.","The Saffārids rose in Sistan under the leadership of Ya'qūb b. Layth, the only major Islamic dynasty founder of popular origin, quickly dominating Khurasan. Though the powerful initial Laysī branch was defeated by the Samanids, the Khalafī branch survived for centuries in Sistan.","Halk kökenli tek büyük İslam hanedanı olarak sosyal hareketliliğin İslam siyasetindeki gücünü gösterdiler.","As the only major Islamic dynasty of popular origin, they demonstrated the power of social mobility in Islamic politics.","Ya'kūb b. Leys, Sîstân'daki ayyâr (halk savaşçısı) hareketinden yükselerek Horasan'ı fethetti.","Leysî kol Sâmânîler tarafından mağlup edildi (900); Halefî kol Sîstân'da küçük bir beylik olarak Timurlu dönemine kadar sürdü.","Tâhirîlerin zayıflamasıyla Horasan ve doğu İran'da otorite boşluğu oluşmuştu; yerel hareketler güç kazanıyordu.","Sâmânîler Horasan ve Mâverâünnehir'in tartışmasız hakimi olarak yükseldiler; Saffârî mirası Sîstân'la sınırlı kaldı."
"85","Bânîcûrîler (Ebû Dâvûdîler)","al-Bānījūriyyūn","The Bānījūrids or Abū Dāwūdids","Bânîcûr ailesi","İranî","Toharistân (Belh bölgesi)","Belh; Toharistân","Belh","c. 233","c. 370","c. 848","c. 980","","Sâmânîler (tâbiiyet)","","","Sâmânî doğrudan yönetimi / Gazneli kontrolü","Sâmânî baskısı","Sâmânî tâbiiyetinde Belh ve Toharistân valileri","Chapter 10: Eastern Persian Lands","Küçük yerel hanedan; Sâmânî vasalı","Karışık/Bilinmeyen","Hanedan/Beylik","","Düşük","36.76","66.9","132","9","10","Doğu İran/Mâverâünnehir","36.8","66.9","37.5","35.5","68.0","65.5","Vasal Devlet","Sünnî Hanefî","Karma Profesyonel","Tarım","","Erken Abbâsî","Bânîcûrîler, Toharistân'da (Belh bölgesi) Sâmânî vassalı olarak hüküm süren küçük bir İranî hanedandır. Sâmânî merkezi otoritesinin güçlenmesiyle bağımsızlıklarını yitirdiler.","The Bānījūrids were a small Iranian dynasty ruling as Samanid vassals in Tukharistan (Balkh region). They lost their independence as Samanid central authority strengthened.","Toharistân'da Sâmânî düzeninin yerel vasalı olarak bölgesel istikrara katkıda bulundular.","They contributed to regional stability as a local vassal of the Samanid order in Tukharistan.","Bölgesel toprak sahipliği ve yerel nüfuz Sâmânî tâbiiyetinde küçük bir beylik kurmalarına olanak tanıdı.","Sâmânî merkezi otoritesinin güçlenmesiyle fiili bağımsızlıklarını kaybettiler.","",""
"86","Simcûrîler","al-Simjūriyyūn","The Simjūrids","Simcûr ailesi (Türk kökenli)","Türk","Horasan (Kuhistan)","Kuhistan; Horasan","","c. 320","c. 392","c. 932","c. 1002","","Sâmânîler (hizmet)","Gazneliler","","Gazneli kontrolü","Gazneli baskısı","Sâmânî ordusunda Türk askeri komutanlar; yarı bağımsız valilik","Chapter 10: Eastern Persian Lands","Küçük askeri aile; Sâmânî hizmetinde; Gazneli yükselişiyle sona erdi","Türk","Hanedan/Beylik","","Düşük","36.76","66.9","70","10","11","Doğu İran/Mâverâünnehir","37.0","62.0","38.0","35.0","67.0","57.0","Vasal Devlet","Sünnî Hanefî","Gulâm/Memlûk Sistemi","Tarım","","Geç Abbâsî","Simcûrîler, Sâmânî ordusunda hizmet eden Türk kökenli küçük bir askeri aile olarak Horasan'ın Kuhistan bölgesinde nüfuz kazandı. Gazneli yükselişiyle sona erdiler.","The Simjūrids were a small military family of Turkic origin serving in the Samanid army, gaining influence in the Kuhistan region of Khurasan. They ended with the Ghaznavid rise.","Sâmânî askeri yapısı içindeki Türk komutanların bağımsızlaşma eğiliminin erken örneklerinden biriydi.","They were one of the early examples of Turkic commanders' tendency toward independence within the Samanid military structure.","Sâmânî ordusundaki askeri hizmetleri ve Kuhistan'daki stratejik konumları nüfuz kazanmalarını sağladı.","Gazneli Mahmud'un Horasan'daki rakip güçleri tasfiye etmesiyle hanedan sona erdi.","",""
"87","İlyâsîler","al-Ilyāsiyyūn","The Ilyāsids","İlyâs ailesi","İranî","Kirmân","Kirmân","","c. 320","c. 357","c. 932","c. 968","","Büveyhîler (geçici)","Büveyhîler","","Büveyhî Kirmân kolu","Büveyhîlerin Kirmân'ı fethi","Kirmân'da kısa süreli yerel hanedan","Chapter 10: Eastern Persian Lands","Çok kısa ömürlü; Kirmân'da; Büveyhîlere yenildi","Karışık/Bilinmeyen","Hanedan/Beylik","","Düşük","36.76","66.9","36","10","10","Doğu İran/Mâverâünnehir","37.0","62.0","38.0","35.0","67.0","57.0","Vasal Devlet","Sünnî Hanefî","Karma Profesyonel","Tarım","","Geç Abbâsî","İlyâsîler, Kirmân'da çok kısa süre hüküm süren ve Büveyhîlerin bölgeyi fethetmesiyle sona eren küçük bir İranî hanedandır.","The Ilyāsids were a small Iranian dynasty that ruled very briefly in Kirman, ending when the Būyids conquered the region.","Kirmân'da Büveyhî öncesi kısa süreli yerel yönetim deneyimini temsil ettiler.","They represented a brief local governance experience in Kirman before the Būyid period.","Kirmân'daki yerel güç boşluğundan yararlanarak kısa süreli bir beylik kurdular.","Büveyhîlerin Kirmân'ı fethetmesiyle hızla sona erdiler.","",""
"88","Muhtâcîler","al-Muhtājiyyūn","The Muhtājids","Muhtâc ailesi (Çağâniyân beyleri)","İranî","Çağâniyân (Mâverâünnehir)","Çağâniyân; Toharistân","Çağâniyân","c. 250","c. 390","c. 864","c. 1000","","Sâmânîler (tâbiiyet)","Gazneliler","","Gazneli kontrolü","Gazneli baskısı","Sâmânî tâbiiyetinde Çağâniyân beyleri; Ebû Bekr Muhammed en önemli emir","Chapter 10: Eastern Persian Lands","Çağâniyân beyleri; Sâmânî vasalı; sikke bastılar","Karışık/Bilinmeyen","Hanedan/Beylik","","Normal","37.8","67.8","136","9","10","Doğu İran/Mâverâünnehir","38.0","68.0","39.0","37.0","69.0","67.0","Vasal Devlet","Sünnî Hanefî","Karma Profesyonel","Tarım","","Erken Abbâsî","Muhtâcîler, Mâverâünnehir'in Çağâniyân bölgesinde Sâmânî vasalı olarak hüküm süren İranî beylerdir. Kendi sikke basan bu hanedan, Sâmânî düzeni içinde bölgesel istikrarı korudu.","The Muhtājids were Iranian rulers governing as Samanid vassals in the Chaganian region of Transoxiana. This dynasty, which minted its own coins, maintained regional stability within the Samanid order.","Çağâniyân'da Sâmânî düzeninin yerel ayağı olarak bölgesel yönetim sürdürdüler.","They maintained regional governance as the local arm of the Samanid order in Chaganian.","Çağâniyân'daki yerel toprak aristokrasisi Sâmânî tâbiiyetinde yönetimlerini resmileştirdi.","Gazneli baskısı ve Sâmânî düzeninin çöküşüyle bölgesel güçlerini kaybettiler.","Sâmânîler Mâverâünnehir'de güçlü bir merkezi otorite kurmuştu; yerel beyler bu düzen içinde vassal olarak işlev görüyordu.","Gazneliler ve Karahanlılar bölgenin yeni hakimleri olarak Sâmânî vassal sistemini sona erdirdi."
"89","Hârezmşahlar","Khwārazm Shāhiyyūn","The Khwārazm Shāhs","1. Efrîgîler; 2. Me'mûnîler; 3. Gazneli valileri; 4. Anûştegin kolu","1-2: İranî; 3: Türk (Gazneli); 4: Türk","Hârezm (Aral Gölü güneyi)","Hârezm; Kâs (Kath); Gürgânc (Gurganj/Ürgenç); Mâverâünnehir (geçici); İran (geçici)","Kâs (Kath, Efrîgîler); Gürgânc (Me'mûnîler ve sonrası)","c. 1. yy","628","c. 7. yy","1231","1. Kâs/Kath Efrîgîleri; 2. Gürgânc Me'mûnîleri; 3. Gazneli valileri (Hârezmşah unvanlı); 4. Anûştegin kolu (Selçuklu valisi → bağımsız)","Sâmânîler (1-2 kol); Selçuklular (4. kol başlangıçta)","Gazneliler; Selçuklular; Moğollar","Sâsânî/yerel İranî beyler","Moğol fethi","Moğol Cengiz Han istilası (616-28/1219-31); son sultan Celâleddîn Hârezmşah'ın ölümü (628/1231)","4. kol: Anûştegin Selçuklu gulâmı → Hârezm valisi; torunu Atsız fiilen bağımsız; Tekiş ve Muhammed II büyük imparatorluk kurdular; Muhammed II Abbâsî halifesine meydan okudu; Moğol felaketi","Chapter 10: Eastern Persian Lands","4 ayrı kol; Efrîgîler en eski (İslam öncesi); Anûştegin kolu en önemli ve güçlü; Sultan Muhammed II Moğol istilası öncesi İslam dünyasının en güçlü hükümdarlarından; Celâleddîn Hârezmşah Moğollara karşı son direniş; sikke bastılar","Türk","Şahlık","","Yüksek","42.30","59.13","","","","Doğu İran/Mâverâünnehir","36.0","59.6","38.0","32.0","69.0","52.0","Merkezi İmparatorluk","Sünnî Hanefî","Gulâm/Memlûk Sistemi","Ticaret/Transit","Kütüphane;Edebiyat;Bilim/Rasathane;Mimari","Erken Abbâsî","Hârezmşahlar, Aral Gölü güneyindeki kadim Hârezm bölgesinde dört farklı kolda asırlarca hüküm süren ve son koluyla İslam dünyasının en büyük askeri gücüne dönüşen hanedandır. En eski Efrîgî kolu İslam öncesine uzanırken, Anûştegin kolu 12. yüzyılda Selçuklu vasallığından bağımsızlığa geçerek Mâverâünnehir'den İran'a uzanan devasa bir imparatorluk kurdu. Ancak Sultan Muhammed II. Hârezmşah'ın Moğol elçilerini öldürmesi, Cengiz Han'ın İslam dünyasına yıkıcı istilasını tetikleyen felaket kararı oldu. Celâleddîn Mengüberti'nin kahramanca direnişi bile bu akıbeti değiştiremedi.","The Khwārazm Shāhs ruled for centuries in four distinct branches in the ancient Khwarazm region south of the Aral Sea, with their final branch becoming the Islamic world's greatest military power. While the oldest Afrīghid branch extended to pre-Islamic times, the Anūshteginid branch transitioned from Seljuq vassalage to independence in the 12th century, building a vast empire from Transoxiana to Iran. However, Sultan Muhammad II Khwārazm Shāh's killing of Mongol envoys triggered Genghis Khan's devastating invasion of the Islamic world. Even Jalāl al-Dīn Mengüberti's heroic resistance could not change this fate.","Moğol istilasını tetikleyen felaket kararıyla İslam dünyasının en büyük siyasi-askeri kırılma noktalarından birinin tarafı oldular.","They became party to one of the Islamic world's greatest political-military breaking points through the catastrophic decision that triggered the Mongol invasion.","Anûştegin kolu, Selçuklu hizmetinde valilik görevinden başlayarak Selçuklu çöküşüyle bağımsızlaştı ve Karahanlı-Gazneli topraklarını hızla ilhak etti.","Cengiz Han'ın istilası (1219-31) hanedanı yıktı; Sultan Muhammed kaçarken Hazar Denizi'nde bir adada öldü; oğlu Celâleddîn Hindistan'dan Anadolu'ya kadar direndi ama başarısız oldu.","Selçuklu İmparatorluğu parçalanmış, Karahanlılar ve Gazneliler zayıflamıştı; Orta Asya'da güç boşluğu Hârezmşahların hızlı genişlemesine zemin hazırladı.","Moğol istilası İslam dünyasının doğusunu harap etti; Bağdat 1258'de düştü; İslam medeniyetinin ağırlık merkezi Mısır'a (Memlükler) ve Anadolu'ya (Selçuklu-Osmanlı) kaydı."
"90","Karahanlılar","al-Qarakhāniyyūn","The Qarakhanids","Türk (muhtemelen Karluk/Yağma/Çiğil boyları)","Türk","Mâverâünnehir ve Doğu Türkistan","Buhara; Semerkand; Fergana; Balasagun; Kâşgar; Hotan; Özkend; Şâş (Taşkent); İlâk; Talas","Balasagun → Kâşgar (doğu); Semerkand (batı); Özkend (Fergana)","c. 382","c. 609","c. 992","c. 1212","1. Birleşik krallık Büyük Kağanları; 2. Batı Kağanlığı (Mâverâünnehir, Semerkand); 3. Doğu Kağanlığı (Balasagun→Kâşgar); 4. Fergana Kağanları (Özkend)","Selçuklular (geçici tâbiiyet)","Sâmânîler; Gazneliler; Selçuklular; Karahitaylar; Hârezmşahlar","Sâmânîler (Mâverâünnehir'de)","Hârezmşahlar / Moğol fethi","Batı: Hârezmşah fethi (c. 609/1212); Doğu: Karahitay/Moğol baskısı","İslam'ı kabul eden ilk büyük Türk hanedanı (c. 340/951 Satuk Buğra Han); Sâmânîleri Mâverâünnehir'den çıkardılar (389/999); doğu-batı olarak ikiye bölündüler","Chapter 10: Eastern Persian Lands","İslam'ı kabul eden ilk Türk devleti; Satuk Buğra Han; Yûsuf Has Hâcib (Kutadgu Bilig); Kâşgarlı Mahmud (Dîvânu Lugâti't-Türk); 4 kol; soy şeceresi hâlâ tartışmalı (Zambaur: 'la seule grande dynastie musulmane dont la généalogie est restée obscure'); sikke bastılar","Türk","Hanlık","","Normal","39.65","66.96","220","10","13","Doğu İran/Mâverâünnehir","33.0","66.0","37.0","29.0","72.0","60.0","Merkezi İmparatorluk","Sünnî Hanefî","Gulâm/Memlûk Sistemi","Ticaret/Transit","Mimari;Edebiyat;Bilim/Rasathane","Selçuklu Çağı","Karahanlılar, İslam'ı kabul eden ilk Türk devleti olarak dünya tarihinin en önemli dönüşümlerinden birini gerçekleştirdiler. Satuk Buğra Han'ın Müslüman olması Orta Asya'nın kaderini değiştirirken, Yûsuf Has Hâcib'in Kutadgu Bilig'i ve Kâşgarlı Mahmud'un Dîvânu Lugâti't-Türk'ü Türk-İslam edebiyatının kurucu eserleri oldu. Mâverâünnehir'i Sâmânîlerden alan Karahanlılar, bölgede Türk-İslam sentezinin temellerini attılar.","The Qarakhanids accomplished one of world history's most significant transformations as the first Turkic state to embrace Islam. While Satuq Bughra Khan's conversion changed Central Asia's destiny, Yūsuf Khāṣṣ Ḥājib's Kutadgu Bilig and Kāshgharī Maḥmūd's Dīwān Lughāt al-Turk became the founding works of Turco-Islamic literature. Taking Transoxiana from the Samanids, the Qarakhanids laid the foundations of the Turco-Islamic synthesis in the region.","İslam'ı kabul eden ilk Türk devleti olarak Orta Asya'nın İslamlaşmasını ve Türk-İslam edebiyatının doğuşunu başlattılar.","As the first Turkic state to accept Islam, they initiated Central Asia's Islamization and the birth of Turco-Islamic literature.","Satuk Buğra Han'ın İslam'ı kabulü ve Türk boylarının toplu ihtidası, Karahanlılara Sâmânî topraklarını fethetme meşruiyeti ve motivasyonu sağladı.","Batı kolu Hârezmşahlar tarafından fethedildi (c. 1212); Doğu kolu Karahitayların vasalı olarak zayıflayıp sona erdi.","Sâmânîler zayıflarken Mâverâünnehir'in kuzeyindeki Türk boyları İslam'la tanışıyor ve güçlü bir askeri potansiyel oluşturuyordu.","Mâverâünnehir, Hârezmşahların ve ardından Moğolların hakimiyetine girdi; Karahanlı kültürel mirası Türk-İslam medeniyetinin kalıcı temeli oldu."
"91","Selçuklular","al-Salājika","The Seljuqs","Kınık boyu (Oğuz Türkleri)","Türk (Oğuz)","İran, Irak, Suriye, Kirmân","Horasan; İsfahan; Bağdat; Suriye; Kirmân; Mâverâünnehir (geçici)","İsfahan (Büyük); Merv (erken); Şam (Suriye); Berdisîr (Kirmân)","429","c. 590","1038","c. 1194","1. Büyük Selçuklular (İran ve Irak); 2. Suriye Selçukluları; 3. Kirmân Selçukluları","Abbâsîler (Sünnî ortaklık)","Büveyhîler; Gazneliler; Fâtımîler; Hârezmşahlar; Haçlılar","Büveyhîler (Irak); Gazneliler (Horasan)","Hârezmşahlar; İldenizliler; Zengîler; çeşitli atabeglikler","Büyük: Hârezmşah Tekiş son Irak Selçuklusunu yendi (590/1194); Suriye: Nûreddîn Zengî aldı (c. 511/1117); Kirmân: Oğuz isyanı (c. 583/1187)","Tuğrul Bey Dandanakan'da Gaznelileri yendi (431/1040); Bağdat'ı aldı (447/1055); Alp Arslan Malazgirt'te Bizans'ı yendi (463/1071); Melikşâh İran İslam dünyasının zirvesi","Chapter 11: Seljuqs, Dependants and Atabegs","EN ÖNEMLİ — İslam tarihinin dönüm noktası; Sünnî İslam'ın yeniden yükselişi; Nizâmiye medreseleri; atabeg sistemi; sikke bastılar; 3 ana kol","Türk","Atabeglik","Sünnî","Kritik","33.51","36.29","156","11","12","Mısır/Şam","37.0","60.0","40.0","33.0","72.0","50.0","Merkezi İmparatorluk","Sünnî Hanefî","İktâ Sistemi","İktâ/Vergi","Mimari;Edebiyat;Bilim/Rasathane","Selçuklu Çağı","Selçuklular, İslam tarihinin en belirleyici dönüm noktalarından birini temsil eden ve Türk-İslam sentezinin kurucu gücü olan hanedandır. Oğuz Türklerinin Kınık boyundan gelen Selçuklular, Dandanakan Savaşı'nda (1040) Gaznelileri yenerek Horasan'a hakim oldular ve on beş yıl içinde Büveyhî Bağdat'ını alarak Sünnî İslam'ın yeniden yükselişini başlattılar. Tuğrul Bey Abbâsî halifesinden 'Doğunun ve Batının Sultanı' unvanını alarak İslam siyasetinde sultanat kurumunu kalıcılaştırdı. Alparslan'ın Malazgirt Zaferi (1071) Anadolu'yu Türk-İslam dünyasına açarken, Melikşah ve veziri Nizâmülmülk dönemi İslam tarihinin en parlak yönetim çağlarından birini oluşturdu. Nizâmiye medreseleri İslam eğitim sistemini kurumsallaştırarak Sünnî ortodoksinin entelektüel altyapısını inşa etti. Büyük Selçuklu çatısı altında Irak, Kirmân, Suriye ve Anadolu'da kurulan kollar, İslam dünyasının siyasi haritasını yeniden çizdi.","The Seljuqs represent one of the most decisive turning points in Islamic history and the founding force of the Turco-Islamic synthesis. Descending from the Qınıq clan of the Oghuz Turks, the Seljuqs defeated the Ghaznavids at the Battle of Dandanaqan (1040), dominated Khurasan, and within fifteen years took Būyid Baghdad, initiating the resurgence of Sunni Islam. Tughril Beg received the title 'Sultan of the East and West' from the Abbasid caliph, permanently institutionalizing the sultanate in Islamic politics. Alp Arslan's victory at Manzikert (1071) opened Anatolia to the Turco-Islamic world, while the era of Malik Shāh and his vizier Niẓām al-Mulk constituted one of the most brilliant administrative periods in Islamic history. The Niẓāmiyya madrasas institutionalized the Islamic educational system, building the intellectual infrastructure of Sunni orthodoxy. Branches established in Iraq, Kirman, Syria, and Anatolia under the Great Seljuq umbrella redrew the political map of the Islamic world.","Sünnî İslam'ın yeniden yükselişini sağlayan, sultanat kurumunu kalıcılaştıran ve Nizâmiye medreseleriyle İslam eğitim sistemini kurumsallaştıran kurucu güçtür.","They were the founding force that ensured the resurgence of Sunni Islam, permanently institutionalized the sultanate, and systematized Islamic education through the Niẓāmiyya madrasas.","Orta Asya steplerinden göç eden Oğuz Türk boylarının askeri gücü, Gazneli ve Büveyhî devletlerinin zayıflamasıyla oluşan güç boşluğuyla birleşerek Selçuklu yükselişini mümkün kıldı.","Sultanlar arası taht kavgaları, atabeklerin bağımsızlaşması ve Hârezmşah baskısı imparatorluğu parçaladı; son Irak Selçuklusu Tuğrul III Hârezmşah Tekiş tarafından öldürüldü (1194).","Büveyhî Şiî hakimiyeti altında Abbâsî hilafeti gölgede kalmıştı; Gazneliler doğuda güçlerini kaybediyordu; İslam dünyası Sünnî bir kurtarıcı arıyordu.","Hârezmşahlar kısa süreli hegemonya ardından Moğol istilasına uğradı; Selçuklu mirası Anadolu Selçukluları, Zengîler, Eyyûbîler ve nihayetinde Osmanlılar tarafından sürdürüldü."
