person_id,dynasty_id,dynasty_name,sub_branch,full_name_original,short_name,kunya,nasab,laqab,title,role,reign_start_hijri,reign_end_hijri,reign_start_ce,reign_end_ce,death_date_hijri,death_date_ce,death_type,parent_tribe,region,predecessor_ruler,successor_ruler,relationship_to_prev,notes,historical_period,religious_detail,reign_duration_years,reign_order,death_category,geographic_zone,ethnic_tags,governance_detail,capital_lat,capital_lon,century_active,is_founder,is_last_ruler,succession_type
10-004,10,Midrârîler,,"Ilyasa' b. al-Muntasir, Abu 'l-Mansūr",Ilyasa',Abu 'l-Mansūr,b. al-Muntasir,,Amīr,Emir,270,296,884,909,,,,Miknāsa Berber,Sijilmāsa,Muhammad,Wāsūl,,,Erken Abbâsî,Hâricî İbâdî,25,4,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,9,Hayır,Hayır,
10-005,10,Midrârîler,,Wāsūl al-Fath b. Maymūn al-Amīr,Wāsūl,,b. Maymūn,,Amīr,Emir,296,300,909,913,,,,Miknāsa Berber,Sijilmāsa,Ilyasa',Ahmad,,Fâtımî tâbiiyeti döneminde,Erken Abbâsî,Hâricî İbâdî,4,5,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-006,10,Midrârîler,,Ahmad b. Maymūn al-Amīr,Ahmad,,b. Maymūn,,Amīr,Emir,300,309,913,921,,,,Miknāsa Berber,Sijilmāsa,Wāsūl,Muhammad Abu 'l-Muntasir,,,Erken Abbâsî,Hâricî İbâdî,8,6,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-007,10,Midrârîler,,"Muhammad b. (?) Sarū, Abu 'l-Muntasir al-Mu'tazz",Muhammad al-Mu'tazz,Abu 'l-Muntasir,b. Sarū (?),al-Mu'tazz,Amīr,Emir,309,321,921,933,,,,Miknāsa Berber,Sijilmāsa,Ahmad,Samgū,,,Erken Abbâsî,Hâricî İbâdî,12,7,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-008,10,Midrârîler,,"Samgū b. Abī 'l-Muntasir, al-Muntasir, first reign",Samgū (1.),,b. Abī 'l-Muntasir,al-Muntasir,Amīr,Emir,321,331,933,943,,,,Miknāsa Berber,Sijilmāsa,Muhammad al-Mu'tazz,Muhammad al-Shākir,,Birinci saltanat,Erken Abbâsî,Hâricî İbâdî,10,8,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-009,10,Midrârîler,,"Muhammad b. Wāsūl al-Fath, al-Shākir",Muhammad al-Shākir,,b. Wāsūl,al-Shākir,Amīr,Emir,331,347,943,958,,,,Miknāsa Berber,Sijilmāsa,Samgū,Samgū (2.),,Mālikī Sünniliğe geçti; halife unvanı aldı; Fâtımîleri kızdırdı,Erken Abbâsî,Hâricî İbâdî,15,9,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-010,10,Midrârîler,,"Samgū al-Muntasir, second reign",Samgū (2.),,,al-Muntasir,Amīr,Emir,347,352,958,963,,,,Miknāsa Berber,Sijilmāsa,Muhammad al-Shākir,'Abdallāh,,İkinci saltanat,Erken Abbâsî,Hâricî İbâdî,5,10,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Hayır,
10-011,10,Midrârîler,,"'Abdallāh b. Muhammad, Abū Muhammad",'Abdallāh,Abū Muhammad,b. Muhammad,,Amīr,Emir,352,c. 366,963,c. 977,,,,Miknāsa Berber,Sijilmāsa,Samgū,— (Maghrāwa Khazrūn),,Son Midrârî; Maghrāwa kabilesi reisi Khazrūn tarafından öldürüldü,Erken Abbâsî,Hâricî İbâdî,14,11,Bilinmiyor,Kuzey Afrika,Berber,Şehir Devleti,31.28,-4.28,10,Hayır,Evet,
11-001,11,Ağlebîler,,Ibrāhīm I b. al-Aghlab,Ibrāhīm I,,b. al-Aghlab,,Amīr,Emir,184,197,800,812,,,o,Horasanlı Arap,Kayrevân,—,'Abdallāh I,—,Sikke bastı (o); Hārūn al-Rashīd'den İfrîkıye'yi aldı,Erken Abbâsî,Sünnî Hanefî,12,1,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Evet,Hayır,Kurucu
11-002,11,Ağlebîler,,"'Abdallāh I b. Ibrāhīm I, Abu 'l-'Abbās",'Abdallāh I,Abu 'l-'Abbās,b. Ibrāhīm I,,Amīr,Emir,197,201,812,817,,,o,Horasanlı Arap,Kayrevân,Ibrāhīm I,Ziyādat Allāh I,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,5,2,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Babadan Oğula
11-003,11,Ağlebîler,,"Ziyādat Allāh I b. Ibrāhīm I, Abū Muhammad",Ziyādat Allāh I,Abū Muhammad,b. Ibrāhīm I,,Amīr,Emir,201,223,817,838,,,o,Horasanlı Arap,Kayrevân,'Abdallāh I,al-Aghlab,kardeşi,Sikke bastı (o); Sicilya fethini başlattı (217/827),Erken Abbâsî,Sünnî Hanefî,21,3,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Kardeş
11-004,11,Ağlebîler,,"al-Aghlab b. Ibrāhīm I, Abū 'Iqāl",al-Aghlab,Abū 'Iqāl,b. Ibrāhīm I,,Amīr,Emir,223,226,838,841,,,o,Horasanlı Arap,Kayrevân,Ziyādat Allāh I,Muhammad I,kardeşi,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,3,4,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Kardeş
11-005,11,Ağlebîler,,"Muhammad I b. al-Aghlab, Abu 'l-'Abbās",Muhammad I,Abu 'l-'Abbās,b. al-Aghlab,,Amīr,Emir,226,242,841,856,,,o,Horasanlı Arap,Kayrevân,al-Aghlab,Ahmad,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,15,5,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Babadan Oğula
11-006,11,Ağlebîler,,"Ahmad b. Muhammad I, Abū Ibrāhīm",Ahmad,Abū Ibrāhīm,b. Muhammad I,,Amīr,Emir,242,249,856,863,,,o,Horasanlı Arap,Kayrevân,Muhammad I,Ziyādat Allāh II,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,7,6,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Babadan Oğula
11-007,11,Ağlebîler,,Ziyādat Allāh II b. Muhammad I,Ziyādat Allāh II,,b. Muhammad I,,Amīr,Emir,249,250,863,863,,,o,Horasanlı Arap,Kayrevân,Ahmad,Muhammad II,,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,0,7,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,
11-008,11,Ağlebîler,,"Muhammad II b. Ahmad, Abū 'Abdallāh Abu 'l-Gharānīq",Muhammad II,Abū 'Abdallāh,b. Ahmad,Abu 'l-Gharānīq,Amīr,Emir,250,261,863,875,,,o,Horasanlı Arap,Kayrevân,Ziyādat Allāh II,Ibrāhīm II,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,12,8,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Babadan Oğula
11-009,11,Ağlebîler,,"Ibrāhīm II b. Ahmad, Abū Ishāq",Ibrāhīm II,Abū Ishāq,b. Ahmad,,Amīr,Emir,261,289,875,902,,,o,Horasanlı Arap,al-Raqqāda,Muhammad II,'Abdallāh II,oğlu,Sikke bastı (o); al-Raqqāda'yı kurdu,Erken Abbâsî,Sünnî Hanefî,27,9,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,9,Hayır,Hayır,Babadan Oğula
11-010,11,Ağlebîler,,"'Abdallāh II b. Ibrāhīm II, Abu 'l-'Abbās",'Abdallāh II,Abu 'l-'Abbās,b. Ibrāhīm II,,Amīr,Emir,289,290,902,903,,,o,Horasanlı Arap,al-Raqqāda,Ibrāhīm II,Ziyādat Allāh III,oğlu,Sikke bastı (o),Erken Abbâsî,Sünnî Hanefî,1,10,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,10,Hayır,Hayır,Babadan Oğula
11-011,11,Ağlebîler,,"Ziyādat Allāh III b. 'Abdallāh II, Abū Mudar",Ziyādat Allāh III,Abū Mudar,b. 'Abdallāh II,,Amīr,Emir,290,296,903,909,,,,Horasanlı Arap,al-Raqqāda,'Abdallāh II,— (Fâtımî fethi),oğlu,Son Ağlebî; Mısır'a kaçtı; sürgünde öldü,Erken Abbâsî,Sünnî Hanefî,6,11,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,35.68,10.10,10,Hayır,Evet,Babadan Oğula
12-001,12,Kelbîler,,al-Hasan b. 'Abdallāh b. Abī 'l-Husayn al-Kalbī,al-Hasan,,b. 'Abdallāh,,Vali,Vali,337,342,948,953,,,,Kelb,Sicilya,—,Ahmad,—,Fâtımî halifesi al-Mansūr tarafından atandı,Geç Abbâsî,Şiî İsmâilî (Fâtımî),5,1,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Evet,Hayır,Kurucu
12-002,12,Kelbîler,,"Ahmad b. al-Hasan, Abu 'l-Husayn",Ahmad,Abu 'l-Husayn,b. al-Hasan,,Vali,Vali,342,359,953,970,,,,Kelb,Sicilya,al-Hasan,'Alī,oğlu,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),17,2,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,Babadan Oğula
12-003,12,Kelbîler,,"'Alī b. al-Hasan, Abu 'l-Qāsim",'Alī,Abu 'l-Qāsim,b. al-Hasan,,Vali,Vali,359,372,970,982,,,,Kelb,Sicilya,Ahmad,Jābir,,359/970'te veraset zımnen tanındı,Geç Abbâsî,Şiî İsmâilî (Fâtımî),12,3,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,
12-004,12,Kelbîler,,Jābir b. 'Alī,Jābir,,b. 'Alī,,Vali,Vali,372,373,982,983,,,,Kelb,Sicilya,'Alī,Ja'far,oğlu,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),1,4,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,Babadan Oğula
12-005,12,Kelbîler,,Ja'far b. Muhammad b. 'Alī,Ja'far,,b. Muhammad b. 'Alī,,Vali,Vali,373,375,983,985,,,,Kelb,Sicilya,Jābir,'Abdallāh,,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),2,5,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,
12-006,12,Kelbîler,,'Abdallāh b. Muhammad b. 'Alī,'Abdallāh,,b. Muhammad b. 'Alī,,Vali,Vali,375,379,985,989,,,,Kelb,Sicilya,Ja'far,Yūsuf,,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),4,6,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,
12-007,12,Kelbîler,,"Yūsuf b. 'Abdallāh, Abu 'l-Futūh Thiqat al-Dawla",Yūsuf,Abu 'l-Futūh,b. 'Abdallāh,Thiqat al-Dawla,Vali,Vali,379,388,989,998,,,,Kelb,Sicilya,'Abdallāh,Ja'far b. Yūsuf,oğlu,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),9,7,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,10,Hayır,Hayır,Babadan Oğula
12-008,12,Kelbîler,,"Ja'far b. Yūsuf, Tāj al-Dawla",Ja'far b. Yūsuf,,b. Yūsuf,Tāj al-Dawla,Vali,Vali,388,410,998,1019,,,,Kelb,Sicilya,Yūsuf,Ahmad al-Akhal,oğlu,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),21,8,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,11,Hayır,Hayır,Babadan Oğula
12-009,12,Kelbîler,,"Ahmad al-Akhal b. Yūsuf, Abū Ja'far Ta'yīd al-Dawla",Ahmad al-Akhal,Abū Ja'far,b. Yūsuf,Ta'yīd al-Dawla,Vali,Vali,410,431,1019,1040,429,1038,d. 429/1038,Kelb,Sicilya,Ja'far b. Yūsuf,al-Hasan al-Samsām,kardeşi,,Geç Abbâsî,Şiî İsmâilî (Fâtımî),21,9,Doğal Ölüm,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,11,Hayır,Hayır,Kardeş
12-010,12,Kelbîler,,"al-Hasan al-Samsām b. Yūsuf, Samsām al-Dawla",al-Hasan al-Samsām,,b. Yūsuf,Samsām al-Dawla,Vali,Vali,431,c. 445,1040,c. 1053,,,,Kelb,Sicilya,Ahmad al-Akhal,— (parçalanma),kardeşi,Son Kelbî valisi; 436/1044'ten itibaren parçalanma; Norman fethi 452/1060'tan başladı,Geç Abbâsî,Şiî İsmâilî (Fâtımî),13,10,Bilinmiyor,Kuzey Afrika,Arap,Vasal Devlet,38.12,13.36,11,Hayır,Evet,Kardeş
13-001,13,Zîrîler ve Hammâdîler,1. Fâtımî Mağrib Zîrî valileri,Zīrī b. Manād,Zīrī,,b. Manād,,Vali,Vali,c. 336,361,c. 947,972,,,,Sanhāja Berber,Mağrib,—,Buluggīn I,—,Fâtımîler için vali,Selçuklu Çağı,Sünnî Mâlikî,25,1,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,10,Evet,Hayır,Kurucu
13-002,13,Zîrîler ve Hammâdîler,1. Fâtımî Mağrib Zîrî valileri,Yūsuf Buluggīn I b. Zīrī,Buluggīn I,,b. Zīrī,,Vali,Vali,361,373,972,984,,,,Sanhāja Berber,Mağrib,Zīrī,al-Mansūr,oğlu,Fâtımî halifesi al-Mu'izz tarafından viceroy atandı; Ceuta'ya kadar fethetti,Selçuklu Çağı,Sünnî Mâlikî,12,2,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,10,Hayır,Hayır,Babadan Oğula
13-003,13,Zîrîler ve Hammâdîler,1. Fâtımî Mağrib Zîrî valileri,al-Mansūr b. Buluggīn I,al-Mansūr,,b. Buluggīn I,,Vali,Vali,373,386,984,996,,,,Sanhāja Berber,Mağrib,Buluggīn I,Bādīs,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,12,3,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,10,Hayır,Hayır,Babadan Oğula
13-004,13,Zîrîler ve Hammâdîler,1. Fâtımî Mağrib Zîrî valileri,"Bādīs b. al-Mansūr, Nāsir al-Dawla",Bādīs,,b. al-Mansūr,Nāsir al-Dawla,Vali,Vali,386,405,996,1015,,,,Sanhāja Berber,Mağrib,al-Mansūr,(bölünme),oğlu,405/1015'te bölünme: Kayrevân Zîrîleri ve Hammâdîler,Selçuklu Çağı,Sünnî Mâlikî,19,4,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-005,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,Bādīs b. al-Mansūr (devam),Bādīs,,,Nāsir al-Dawla,Amīr,Emir,405,406,1015,1016,,,,Sanhāja Berber,Kayrevân,—,al-Mu'izz,,Kayrevân Zîrî kolu başlangıcı,Selçuklu Çağı,Sünnî Mâlikî,1,5,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,
13-006,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,al-Mu'izz b. Bādīs,al-Mu'izz,,b. Bādīs,,Amīr,Emir,406,454,1016,1062,,,o,Sanhāja Berber,Kayrevân → al-Mahdiyya,Bādīs,Tamīm,oğlu,Sikke bastı (o); 433/1041'de Abbâsîlere bağlılık bildirdi; Fâtımîler ceza olarak Hilâl kabilelerini gönderdi,Selçuklu Çağı,Sünnî Mâlikî,46,6,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-007,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,Tamīm b. al-Mu'izz,Tamīm,,b. al-Mu'izz,,Amīr,Emir,454,501,1062,1108,,,,Sanhāja Berber,al-Mahdiyya,al-Mu'izz,Yahyā,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,46,7,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-008,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,Yahyā b. Tamīm,Yahyā,,b. Tamīm,,Amīr,Emir,501,509,1108,1116,,,,Sanhāja Berber,al-Mahdiyya,Tamīm,'Alī,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,8,8,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Hayır,Babadan Oğula
13-009,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,'Alī b. Yahyā,'Alī,,b. Yahyā,,Amīr,Emir,509,515,1116,1121,,,,Sanhāja Berber,al-Mahdiyya,Yahyā,al-Hasan,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,5,9,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Hayır,Babadan Oğula
13-010,13,Zîrîler ve Hammâdîler,2. Kayrevân Zîrîleri,al-Hasan b. 'Alī,al-Hasan,,b. 'Alī,,Amīr,Emir,515,543,1121,1148,563,1168,d. 563/1168,Sanhāja Berber,al-Mahdiyya,'Alī,— (Norman/Muvahhid),oğlu,Norman ve ardından Muvahhid fethi; Muvahhid valisi olarak 558/1163'e kadar; Fas'ta öldü,Selçuklu Çağı,Sünnî Mâlikî,27,10,Doğal Ölüm,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Hayır,Babadan Oğula
13-011,13,Zîrîler ve Hammâdîler,3. Hammâdîler (Qal'at Banī Hammād),Hammād b. Buluggīn I,Hammād,,b. Buluggīn I,,Amīr,Emir,405,419,1015,1028,,,,Sanhāja Berber,Qal'at Banī Hammād,—,al-Qā'id,—,Bādīs'in amcası; ayrı hanedan kurdu,Selçuklu Çağı,Sünnî Mâlikî,13,11,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,
13-012,13,Zîrîler ve Hammâdîler,3. Hammâdîler,"al-Qā'id b. Hammād, Sharaf al-Dawla",al-Qā'id,,b. Hammād,Sharaf al-Dawla,Amīr,Emir,419,446,1028,1054,,,,Sanhāja Berber,Qal'at Banī Hammād,Hammād,Muhsin,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,26,12,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-013,13,Zîrîler ve Hammâdîler,3. Hammâdîler,Muhsin b. al-Qā'id,Muhsin,,b. al-Qā'id,,Amīr,Emir,446,447,1054,1055,,,,Sanhāja Berber,Qal'at Banī Hammād,al-Qā'id,Buluggīn II,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,1,13,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-014,13,Zîrîler ve Hammâdîler,3. Hammâdîler,Buluggīn II b. Muhammad,Buluggīn II,,b. Muhammad,,Amīr,Emir,447,454,1055,1062,,,,Sanhāja Berber,Qal'at Banī Hammād,Muhsin,al-Nāsir,,,Selçuklu Çağı,Sünnî Mâlikî,7,14,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,
13-015,13,Zîrîler ve Hammâdîler,3. Hammâdîler,al-Nāsir b. 'Alannās,al-Nāsir,,b. 'Alannās,,Amīr,Emir,454,481,1062,1088,,,,Sanhāja Berber,Bicâye (al-Nāsiriyya),Buluggīn II,al-Mansūr,,Bicâye'yi kurdu (al-Nāsiriyya),Selçuklu Çağı,Sünnî Mâlikî,26,15,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,
13-016,13,Zîrîler ve Hammâdîler,3. Hammâdîler,al-Mansūr b. al-Nāsir,al-Mansūr,,b. al-Nāsir,,Amīr,Emir,481,498,1088,1105,,,,Sanhāja Berber,Bicâye,al-Nāsir,Bādīs,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,17,16,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,11,Hayır,Hayır,Babadan Oğula
13-017,13,Zîrîler ve Hammâdîler,3. Hammâdîler,Bādīs b. al-Mansūr,Bādīs,,b. al-Mansūr,,Amīr,Emir,498,498,1105,1105,,,,Sanhāja Berber,Bicâye,al-Mansūr,al-'Azīz,oğlu,Kısa saltanat,Selçuklu Çağı,Sünnî Mâlikî,0,17,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Hayır,Babadan Oğula
13-018,13,Zîrîler ve Hammâdîler,3. Hammâdîler,al-'Azīz b. al-Mansūr,al-'Azīz,,b. al-Mansūr,,Amīr,Emir,498,515,1105,1121,,,,Sanhāja Berber,Bicâye,Bādīs,Yahyā,kardeşi,,Selçuklu Çağı,Sünnî Mâlikî,16,18,Bilinmiyor,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Hayır,Kardeş
13-019,13,Zîrîler ve Hammâdîler,3. Hammâdîler,Yahyā b. al-'Azīz,Yahyā,,b. al-'Azīz,,Amīr,Emir,515,547,1121,1152,557,1162,d. 557/1162,Sanhāja Berber,Bicâye → Konstantin,al-'Azīz,— (Muvahhid fethi),oğlu,Sikke bastı (o); Konstantin'de teslim oldu; Fas'ta sürgünde öldü; 515 veya 518'de başladı,Selçuklu Çağı,Sünnî Mâlikî,31,19,Doğal Ölüm,Kuzey Afrika,Berber,Vasal Devlet,35.68,10.10,12,Hayır,Evet,Babadan Oğula
14-001,14,Murâbıtlar,,Abū Bakr b. 'Umar al-Lamtūnī,Abū Bakr,,b. 'Umar,,Amīr,Emir (fiili),c. 448,480,c. 1056,1087,480,1087,d. 480/1087,Sanhāja Berber (Lamtūna),Sahra / Güney Fas,—,Yūsuf b. Tāshufīn,—,'Abdallāh b. Yāsīn'in manevi otoritesi altında; güneye yöneldi,Selçuklu Çağı,Sünnî Mâlikî,31,1,Doğal Ölüm,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,11,Evet,Hayır,Kurucu
14-002,14,Murâbıtlar,,Yūsuf b. Tāshufīn,Yūsuf b. Tāshufīn,,b. Tāshufīn,,Amīr al-Muslimīn,Müslümanların emiri,453,500,1061,1107,,,o,Sanhāja Berber (Lamtūna),Merakeş,Abū Bakr,'Alī,,Merakeş'i kurdu (454/1062); Zallāqa zaferi (479/1086); Teyfe beyliklerini ortadan kaldırdı; sikke bastı (o),Selçuklu Çağı,Sünnî Mâlikî,46,2,Bilinmiyor,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,11,Hayır,Hayır,
14-003,14,Murâbıtlar,,'Alī b. Yūsuf,'Alī b. Yūsuf,,b. Yūsuf,,Amīr,Emir,500,537,1107,1142,,,o,Sanhāja Berber,Merakeş,Yūsuf,Tāshufīn,oğlu,Sikke bastı; Muvahhid tehdidi başladı,Selçuklu Çağı,Sünnî Mâlikî,35,3,Bilinmiyor,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,12,Hayır,Hayır,Babadan Oğula
14-004,14,Murâbıtlar,,Tāshufīn b. 'Alī,Tāshufīn,,b. 'Alī,,Amīr,Emir,537,540,1142,1146,,,,Sanhāja Berber,Merakeş,'Alī,Ibrāhīm,oğlu,,Selçuklu Çağı,Sünnî Mâlikî,4,4,Bilinmiyor,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,12,Hayır,Hayır,Babadan Oğula
14-005,14,Murâbıtlar,,Ibrāhīm b. Tāshufīn,Ibrāhīm,,b. Tāshufīn,,Amīr,Emir,540,540,1146,1146,,,,Sanhāja Berber,Merakeş,Tāshufīn,Ishāq,oğlu,Kısa saltanat,Selçuklu Çağı,Sünnî Mâlikî,0,5,Bilinmiyor,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,12,Hayır,Hayır,Babadan Oğula
14-006,14,Murâbıtlar,,Ishāq b. 'Alī,Ishāq,,b. 'Alī,,Amīr,Emir,540,541,1146,1147,,,,Sanhāja Berber,Merakeş,Ibrāhīm,— (Muvahhid fethi),,Son Murâbıt; Merakeş'te öldürüldü,Selçuklu Çağı,Sünnî Mâlikî,1,6,Bilinmiyor,Kuzey Afrika,Berber,Kabile Konfederasyonu,31.63,-8.01,12,Hayır,Evet,
15-001,15,Muvahhidler,,Muhammad b. Tūmart,İbn Tūmart,,,al-Mahdī,Mehdî,Mehdî,,524,,1130,524,1130,d. 524/1130,Masmūda Berber,Tinmallal,—,'Abd al-Mu'min,—,Kurucusu; Mehdî ilan edildi (515/1121); 524/1130'da öldü,Selçuklu Çağı,Sünnî (Zâhirî etkili),,1,Doğal Ölüm,Kuzey Afrika,Berber,Merkezi İmparatorluk,31.63,-8.01,12,Evet,Hayır,Kurucu
15-002,15,Muvahhidler,,'Abd al-Mu'min b. 'Alī al-Kūmī,'Abd al-Mu'min,,b. 'Alī,,Khalīfa / Amīr al-Mu'minīn,Halife,524,558,1130,1163,,,o,Berber (Kūmī),Merakeş,İbn Tūmart,Yūsuf I,halef,Sikke bastı (o); Murâbıtları devirdi; Tunus ve Trablusgarb'a kadar fethetti; halife unvanı,Selçuklu Çağı,Sünnî (Zâhirî etkili),33,2,Bilinmiyor,Kuzey Afrika,Berber,Merkezi İmparatorluk,31.63,-8.01,12,Hayır,Hayır,Darbe/Gasp
15-003,15,Muvahhidler,,"Yūsuf I b. 'Abd al-Mu'min, Abū Ya'qūb",Yūsuf I,Abū Ya'qūb,b. 'Abd al-Mu'min,,Khalīfa,Halife,558,580,1163,1184,,,o,,Merakeş / İşbiliye,'Abd al-Mu'min,Ya'qūb,oğlu,Sikke bastı (o),Selçuklu Çağı,Sünnî (Zâhirî etkili),21,3,Bilinmiyor,Kuzey Afrika,Berber,Merkezi İmparatorluk,31.63,-8.01,12,Hayır,Hayır,Babadan Oğula
15-004,15,Muvahhidler,,"Ya'qūb b. Yūsuf I, Abū Yūsuf al-Mansūr",Ya'qūb al-Mansūr,Abū Yūsuf,b. Yūsuf I,al-Mansūr,Khalīfa,Halife,580,595,1184,1199,,,o,,Merakeş,Yūsuf I,Muhammad,oğlu,Sikke bastı (o); Alarcos zaferi (591/1195),Selçuklu Çağı,Sünnî (Zâhirî etkili),15,4,Bilinmiyor,Kuzey Afrika,Berber,Merkezi İmparatorluk,31.63,-8.01,12,Hayır,Hayır,Babadan Oğula
